"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://www.lupo.com.br/","1","Indexable","","https://www.lupo.com.br/","","index, follow","","","","",""
"https://www.lupo.com.br/kits","1","Indexable","","https://www.lupo.com.br/kits","","index, follow","","https://www.lupo.com.br/kits?page=2","","",""
"https://www.lupo.com.br/novidades","1","Indexable","","https://www.lupo.com.br/novidades","","index, follow","","https://www.lupo.com.br/novidades?page=2","","",""
"https://www.lupo.com.br/feminino","1","Indexable","","https://www.lupo.com.br/feminino","","index, follow","","https://www.lupo.com.br/feminino?page=2","","",""
"https://www.lupo.com.br/masculino","1","Indexable","","https://www.lupo.com.br/masculino","","index, follow","","https://www.lupo.com.br/masculino?page=2","","",""
"https://www.lupo.com.br/outlet","1","Indexable","","https://www.lupo.com.br/outlet","","index, follow","","https://www.lupo.com.br/outlet?page=2","","",""
"https://www.lupo.com.br/meninos","1","Indexable","","https://www.lupo.com.br/meninos","","index, follow","","https://www.lupo.com.br/meninos?page=2","","",""
"https://www.lupo.com.br/pijamas","1","Indexable","","https://www.lupo.com.br/pijamas","","index, follow","","https://www.lupo.com.br/pijamas?page=2","","",""
"https://www.lupo.com.br/account","1","Indexable","","https://www.lupo.com.br/account","","# Disallow all crawlers access to certain pages.   User-agent: *    Disallow: /img/*   Disallow: /account/*   Disallow: /login/*   Disallow: /checkout/*   Disallow: /busca/*   Disallow: /quick-view/*   Disallow: /espiar/*   Noindex: /buscapagina/*","","","","",""
"https://www.lupo.com.br/pijama-lupo-af-americano-longo-24602-001/p","1","Indexable","","https://www.lupo.com.br/pijama-lupo-af-americano-longo-24602-001/p","","index, follow","","","","",""
"https://www.lupo.com.br/meninas","1","Indexable","","https://www.lupo.com.br/meninas","","index, follow","","https://www.lupo.com.br/meninas?page=2","","",""
"https://www.lupo.com.br/pijamas?map=productclusternames","1","Non-Indexable","Canonicalised","https://www.lupo.com.br/pijamas","","index, follow","","https://www.lupo.com.br/pijamas?page=2","","",""
"https://www.lupo.com.br/pijama-lupo-kf-shdoll-raglan-22683-001/p","1","Indexable","","https://www.lupo.com.br/pijama-lupo-kf-shdoll-raglan-22683-001/p","","index, follow","","","","",""
