"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical","Indexability","Indexability Status"
"https://www.lupo.com.br/meninos/cuecas","1","index, follow","","","https://www.lupo.com.br/meninos/cuecas","","Indexable",""
"https://www.lupo.com.br/meia-lupo-au-sport-kit3-03270-089/p","1","index, follow","","","https://www.lupo.com.br/meia-lupo-au-sport-kit3-03270-089/p","","Indexable",""
"https://www.lupo.com.br/meia-lupo-am-sport-kit3-03292-089/p","1","index, follow","","","https://www.lupo.com.br/meia-lupo-am-sport-kit3-03292-089/p","","Indexable",""
"https://www.lupo.com.br/cueca-lupo-am-boxer-kit2-00784-088/p","1","index, follow","","","https://www.lupo.com.br/cueca-lupo-am-boxer-kit2-00784-088/p","","Indexable",""
"https://www.lupo.com.br/meia-lupo-au-walk-kit3-03225-089/p","1","index, follow","","","https://www.lupo.com.br/meia-lupo-au-walk-kit3-03225-089/p","","Indexable",""
"https://www.lupo.com.br/cueca-lupo-am-slip-kit3-00515-089/p","1","index, follow","","","https://www.lupo.com.br/cueca-lupo-am-slip-kit3-00515-089/p","","Indexable",""
"https://www.lupo.com.br/meia-lupo-ku-kit2-02835-088/p","1","index, follow","","","https://www.lupo.com.br/meia-lupo-ku-kit2-02835-088/p","","Indexable",""
"https://www.lupo.com.br/kits?map=productclusternames","1","index, follow","","","https://www.lupo.com.br/kits","","Non-Indexable","Canonicalised"
"https://www.lupo.com.br/meia-disney-ku-mickey-02300-292/p","1","index, follow","","","https://www.lupo.com.br/meia-disney-ku-mickey-02300-292/p","","Indexable",""
"https://www.lupo.com.br/geral?map=productclusternames","1","index, follow","","","https://www.lupo.com.br/geral?map=productclusternames","","Indexable",""
"https://www.lupo.com.br/robe-modal-exclusivo-feminino-lupo/p","1","index, follow","","","https://www.lupo.com.br/robe-modal-exclusivo-feminino-lupo/p","","Indexable",""
"https://www.lupo.com.br/meia-lupo-ku-felpa-cano-mdio-03701-002/p","1","index, follow","","","https://www.lupo.com.br/meia-lupo-ku-felpa-cano-mdio-03701-002/p","","Indexable",""
"https://www.lupo.com.br/meia-lupo-km-02728-002/p","1","index, follow","","","https://www.lupo.com.br/meia-lupo-km-02728-002/p","","Indexable",""
"https://www.lupo.com.br/meia-disney-au-toy-story-16990-039/p","1","index, follow","","","https://www.lupo.com.br/meia-disney-au-toy-story-16990-039/p","","Indexable",""
"https://www.lupo.com.br/pijama-modal-exclusivo-masculino-lupo/p","1","index, follow","","","https://www.lupo.com.br/pijama-modal-exclusivo-masculino-lupo/p","","Indexable",""
"https://www.lupo.com.br/calcinha-loba-basica-sem-costura/p","1","index, follow","","","https://www.lupo.com.br/calcinha-loba-basica-sem-costura/p","","Indexable",""
