"Address","Indexability","Indexability Status","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1"
"https://www.lupo.com.br/beachwear","Indexable","","","","","","https://www.lupo.com.br/beachwear","","index, follow",""
"https://www.lupo.com.br/boxer-lupo-kids-algodo-c-elastano-00151-011/p","Indexable","","","","","","https://www.lupo.com.br/boxer-lupo-kids-algodo-c-elastano-00151-011/p","","index, follow",""
"https://www.lupo.com.br/meia-lupo-km-sport-kit3-02725-089/p","Indexable","","","","","","https://www.lupo.com.br/meia-lupo-km-sport-kit3-02725-089/p","","index, follow",""
"https://www.lupo.com.br/cueca-lupo-km-boxer-microf-00136-001/p","Indexable","","","","","","https://www.lupo.com.br/cueca-lupo-km-boxer-microf-00136-001/p","","index, follow",""
"https://www.lupo.com.br/meninos/pijama","Indexable","","","","","","https://www.lupo.com.br/meninos/pijama","","index, follow",""
"https://www.lupo.com.br/cueca-lupo-km-boxer-00137-010/p","Indexable","","","","","","https://www.lupo.com.br/cueca-lupo-km-boxer-00137-010/p","","index, follow",""
"https://www.lupo.com.br/meia-lupo-af-kit3-04536-089/p","Indexable","","","","","","https://www.lupo.com.br/meia-lupo-af-kit3-04536-089/p","","index, follow",""
"https://www.lupo.com.br/calcinha-lobinha-kf-basica-kit3-18101-089/p","Indexable","","","","","","https://www.lupo.com.br/calcinha-lobinha-kf-basica-kit3-18101-089/p","","index, follow",""
"https://www.lupo.com.br/meninos/cuecas","Indexable","","","","","","https://www.lupo.com.br/meninos/cuecas","","index, follow",""
"https://www.lupo.com.br/meia-lupo-au-sport-kit3-03270-089/p","Indexable","","","","","","https://www.lupo.com.br/meia-lupo-au-sport-kit3-03270-089/p","","index, follow",""
"https://www.lupo.com.br/meia-lupo-am-sport-kit3-03292-089/p","Indexable","","","","","","https://www.lupo.com.br/meia-lupo-am-sport-kit3-03292-089/p","","index, follow",""
