Location report
"June 1, 2026 - June 16, 2026"
Location,Campaign,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
"85249, Arizona, United States",V4 - SEARCH - SERVICES,USD,119.30,32,1,3.13%,3.82,3.82,0.00%,0.00,0.00
"85028, Arizona, United States",V4 - SEARCH - SERVICES,USD,742.53,26,2,7.69%,9.65,19.31,0.00%,0.00,0.00
"85034, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,18.17,368,14,3.80%,0.48,6.69,0.00%,0.00,0.00
Total: Locations,,USD,250.79,"5,135",264,5.14%,4.88,1287.79,3.41%,9.00,143.09
Total: Other locations,,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
Total: Account,,USD,270.27,"10,010",666,6.65%,4.06,2705.40,5.26%,35.00,77.30
Total: Search,,USD,494.35,"1,100",42,3.82%,12.95,543.79,7.14%,3.00,181.26
Total: Display,,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
Total: Performance Max,,USD,231.77,"4,360",239,5.48%,4.23,1010.50,2.51%,6.00,168.42
Total: Video,,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
