date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:12:35	436647/436647	---M--	200	added ('OK')	image/png	etag:%22719eb8ec68307410330f863a8d90ee87%22	https://files.greatpages.com.br/arquivos/paginas_editor/443664-118c7e3c72560cc0e85c23c293be416c.png	/home/marcos/websites/Brinks%20V11/files.greatpages.com.br/arquivos/paginas_editor/443664-118c7e3c72560cc0e85c23c293be416c.png	(from https://v4pages.fvmarketing.com.br/)
16:12:36	11339/11339	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f0b304d51015c5e4c6b83aaf2448c289%22	https://files.greatpages.com.br/arquivos/paginas_editor/443664-54c0864fb6fa730ec5369d64edf3ebd7.svg	/home/marcos/websites/Brinks%20V11/files.greatpages.com.br/arquivos/paginas_editor/443664-54c0864fb6fa730ec5369d64edf3ebd7.svg	(from https://v4pages.fvmarketing.com.br/)
16:12:36	88685/88685	---M--	200	added ('OK')	image/png	etag:%224f1d99c260b0e05289f6b575c176d589%22	https://files.greatpages.com.br/arquivos/paginas_editor/443664-d18804a757af32dd7d128690b2bf9fac.png	/home/marcos/websites/Brinks%20V11/files.greatpages.com.br/arquivos/paginas_editor/443664-d18804a757af32dd7d128690b2bf9fac.png	(from https://v4pages.fvmarketing.com.br/)
16:12:39	203143/203143	---M--	200	added ('OK')	image/png	etag:%222a33f72bdef13285e216c5807e43822c%22	https://files.greatpages.com.br/arquivos/paginas_editor/443664-658b195ac30ccdf0467b86378473152e.png	/home/marcos/websites/Brinks%20V11/files.greatpages.com.br/arquivos/paginas_editor/443664-658b195ac30ccdf0467b86378473152e.png	(from https://v4pages.fvmarketing.com.br/)
16:12:39	242040/242040	---M--	200	added ('OK')	image/png	etag:%22e6e4028fca02a56bd49564155f483909%22	https://files.greatpages.com.br/arquivos/paginas_editor/443664-baa1d04dd237ee805da38239f2396b0f.png	/home/marcos/websites/Brinks%20V11/files.greatpages.com.br/arquivos/paginas_editor/443664-baa1d04dd237ee805da38239f2396b0f.png	(from https://v4pages.fvmarketing.com.br/)
16:12:40	192928/192928	---M--	200	added ('OK')	image/png	etag:%22b7f807a8117ae8a26f5ab6788b68feb6%22	https://files.greatpages.com.br/arquivos/paginas_editor/443664-728f154c800ffcde6058b6ad56e215d7.png	/home/marcos/websites/Brinks%20V11/files.greatpages.com.br/arquivos/paginas_editor/443664-728f154c800ffcde6058b6ad56e215d7.png	(from https://v4pages.fvmarketing.com.br/)
16:12:41	197960/197960	---M--	200	added ('OK')	image/png	etag:%226f7d6c8ab75d8630026ad7f24bea7593%22	https://files.greatpages.com.br/arquivos/paginas_editor/443664-7bb9c2c21942a05e742faae7db9f14b0.png	/home/marcos/websites/Brinks%20V11/files.greatpages.com.br/arquivos/paginas_editor/443664-7bb9c2c21942a05e742faae7db9f14b0.png	(from https://v4pages.fvmarketing.com.br/)
16:12:42	182141/182141	---M--	200	added ('OK')	image/png	etag:%22873e1b2582a690d6bf3eaa512be7a719%22	https://files.greatpages.com.br/arquivos/paginas_editor/443664-a3eb961427266baa1689cf0c111ac5dd.png	/home/marcos/websites/Brinks%20V11/files.greatpages.com.br/arquivos/paginas_editor/443664-a3eb961427266baa1689cf0c111ac5dd.png	(from https://v4pages.fvmarketing.com.br/)
16:12:43	166191/166191	---M--	200	added ('OK')	image/png	etag:%22c1c972704bbc16b7df78a79c333bb31c%22	https://files.greatpages.com.br/arquivos/paginas_editor/443664-ad724e5f103a15692490d780d9eb9f00.png	/home/marcos/websites/Brinks%20V11/files.greatpages.com.br/arquivos/paginas_editor/443664-ad724e5f103a15692490d780d9eb9f00.png	(from https://v4pages.fvmarketing.com.br/)
16:12:43	1433/1433	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2248cb1c0a0d4dc709c34ea315a34fb363%22	https://files.greatpages.com.br/arquivos/paginas_editor/443664-d5f0e8b3a8aee1fc93f5c7856d8eb960.svg	/home/marcos/websites/Brinks%20V11/files.greatpages.com.br/arquivos/paginas_editor/443664-d5f0e8b3a8aee1fc93f5c7856d8eb960.svg	(from https://v4pages.fvmarketing.com.br/)
16:12:44	1505/1505	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b4f031e590ec708617605b4b553f0286%22	https://files.greatpages.com.br/arquivos/paginas_editor/443664-81356b37ac4e20c7a90631941096ffdb.svg	/home/marcos/websites/Brinks%20V11/files.greatpages.com.br/arquivos/paginas_editor/443664-81356b37ac4e20c7a90631941096ffdb.svg	(from https://v4pages.fvmarketing.com.br/)
16:12:45	13159/13159	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2256514200fdfbe3f04f344dabc5d6f7a1%22	https://files.greatpages.com.br/arquivos/paginas_editor/443664-8ed08f81fd91a2972b470b524fb39499.svg	/home/marcos/websites/Brinks%20V11/files.greatpages.com.br/arquivos/paginas_editor/443664-8ed08f81fd91a2972b470b524fb39499.svg	(from https://v4pages.fvmarketing.com.br/)
16:12:46	10878/10878	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2277e52f946edbbfa163d75661edd2689b%22	https://files.greatpages.com.br/arquivos/paginas_editor/443664-1ab30eeb450caca2e9e95e75456169ef.svg	/home/marcos/websites/Brinks%20V11/files.greatpages.com.br/arquivos/paginas_editor/443664-1ab30eeb450caca2e9e95e75456169ef.svg	(from https://v4pages.fvmarketing.com.br/)
16:12:47	13725/13725	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ad4239819211025a923b2d8002ff3271%22	https://files.greatpages.com.br/arquivos/paginas_editor/443664-b8bc6d30d1a528829dc05314edb14025.svg	/home/marcos/websites/Brinks%20V11/files.greatpages.com.br/arquivos/paginas_editor/443664-b8bc6d30d1a528829dc05314edb14025.svg	(from https://v4pages.fvmarketing.com.br/)
16:12:48	14040/14040	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228ff4012d7fb5b2574cf0068874bf6fce%22	https://files.greatpages.com.br/arquivos/paginas_editor/443664-630aaf932526c7c2f1f9bc40ab1d8ad4.svg	/home/marcos/websites/Brinks%20V11/files.greatpages.com.br/arquivos/paginas_editor/443664-630aaf932526c7c2f1f9bc40ab1d8ad4.svg	(from https://v4pages.fvmarketing.com.br/)
16:12:49	2746/2746	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22da778c2df5d9bfab28415404edff2aa3%22	https://files.greatpages.com.br/arquivos/paginas_editor/443664-b2696ac88d75f486c9aa5518f74762f6.svg	/home/marcos/websites/Brinks%20V11/files.greatpages.com.br/arquivos/paginas_editor/443664-b2696ac88d75f486c9aa5518f74762f6.svg	(from https://v4pages.fvmarketing.com.br/)
16:12:50	7047/7047	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2284f214c48a05b89810977f3b275cb918%22	https://files.greatpages.com.br/arquivos/paginas_editor/443664-40926a3313b98fa71f8fd2f13ef45748.svg	/home/marcos/websites/Brinks%20V11/files.greatpages.com.br/arquivos/paginas_editor/443664-40926a3313b98fa71f8fd2f13ef45748.svg	(from https://v4pages.fvmarketing.com.br/)
16:12:52	20935/20935	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2286dfd5716ed14f0dbf801065893099d1%22	https://files.greatpages.com.br/arquivos/paginas_editor/443664-17f423ae5423677ef2b671677d8aa696.svg	/home/marcos/websites/Brinks%20V11/files.greatpages.com.br/arquivos/paginas_editor/443664-17f423ae5423677ef2b671677d8aa696.svg	(from https://v4pages.fvmarketing.com.br/)
16:12:53	283954/283954	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22dee8a98b25d917e903a97060c90469be%22	https://files.greatpages.com.br/arquivos/paginas_editor/443664-0b22f51d23466bdd01cb2cc6ed414269.svg	/home/marcos/websites/Brinks%20V11/files.greatpages.com.br/arquivos/paginas_editor/443664-0b22f51d23466bdd01cb2cc6ed414269.svg	(from https://v4pages.fvmarketing.com.br/)
16:12:54	1871/1871	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22674b73ef440f69e2868a20c91816f047%22	https://files.greatpages.com.br/arquivos/paginas_editor/443664-95c159a0e916dfe815366244915bcd05.svg	/home/marcos/websites/Brinks%20V11/files.greatpages.com.br/arquivos/paginas_editor/443664-95c159a0e916dfe815366244915bcd05.svg	(from https://v4pages.fvmarketing.com.br/)
16:12:55	33059/33059	---MCZ	200	added ('OK')	text/css	etag:W/%22a2958289800c7ac2da60787eed749089%22	https://cdn.landingpage.app.br/v4pages.fvmarketing.com.br/1759190293/css.css	/home/marcos/websites/Brinks%20V11/cdn.landingpage.app.br/v4pages.fvmarketing.com.br/1759190293/css.css	(from https://v4pages.fvmarketing.com.br/)
16:12:55	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2001%20Jun%202026%2019:12:54%20GMT	https://connect.facebook.net/	/home/marcos/websites/Brinks%20V11/connect.facebook.net/index.html	(from https://v4pages.fvmarketing.com.br/)
16:12:56	415088/415088	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jun%202026%2019:12:54%20GMT	https://www.facebook.com/	/home/marcos/websites/Brinks%20V11/www.facebook.com/index.html	(from https://v4pages.fvmarketing.com.br/)
16:12:56	494475/494475	---MCZ	200	added ('OK')	application/javascript	etag:W/%223c0722e7f74f5bae3eeb19efb7e88570%22	https://cdn.landingpage.app.br/v4pages.fvmarketing.com.br/1759190293/js.js	/home/marcos/websites/Brinks%20V11/cdn.landingpage.app.br/v4pages.fvmarketing.com.br/1759190293/js.js	(from https://v4pages.fvmarketing.com.br/)
16:12:56	0/0	---M--	200	added ('OK')	text/plain	date:Mon,%2001%20Jun%202026%2019:12:56%20GMT	https://www.facebook.com/tr?id=651241081051316&ev=PageView&noscript=1	/home/marcos/websites/Brinks%20V11/www.facebook.com/tr.1e9725.delayed	(from https://v4pages.fvmarketing.com.br/)
16:12:58	2120/2120	---M-Z	200	added ('OK')	text/plain	date:Mon,%2001%20Jun%202026%2006:57:59%20GMT	https://www.facebook.com/robots.txt		(from https://v4pages.fvmarketing.com.br/)
16:12:58	20366/20366	---M--	200	added ('OK')	image/x-icon	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/y1/r/ay1hV6OlegS.ico	/home/marcos/websites/Brinks%20V11/static.xx.fbcdn.net/rsrc.php/y1/r/ay1hV6OlegS.ico	(from https://www.facebook.com/)
16:13:00	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Mon,%2001%20Jun%202026%2019:13:00%20GMT	http://scontent.xx.fbcdn.net/	/home/marcos/websites/Brinks%20V11/scontent.xx.fbcdn.net/index.html	(from https://www.facebook.com/)
