"Address","Content Type","Status Code","Status","Crawl Depth","Inlinks"
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lepo-2e90142e5527220a6c17540787267643-1024-1024.webp","image/webp","200","OK","2","1"
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/foto-lepo-02-30838e0da3682eccb617540787323070-50-0.webp","image/webp","200","OK","2","0"
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/foto-lepo-01-63335431dd5deea30317567460249832-1024-1024.webp","image/webp","200","OK","2","1"
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/foto-lepo-01-63335431dd5deea30317567460249832-50-0.webp","image/webp","200","OK","2","0"
"http://pinterest.com/pin/create/button/?url=https%3A%2F%2Fwww.lolaaviamentos.com.br%2Fprodutos%2Fentretela-para-bordado-toque-macio-40g-90cm-100m%2F&media=https%3A%2F%2Facdn-us.mitiendanube.com%2Fstores%2F001%2F720%2F481%2Fproducts%2Ffoto-lepo-01-63335431dd5deea30317567460249832-480-0.webp&description=","","0","Blocked by robots.txt","2","1"
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lec-branca-30cm-f0050dbd0f6488fd7c17567460158771-1024-1024.webp","image/webp","200","OK","2","1"
"https://www.facebook.com/sharer/sharer.php?u=https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-toque-macio-40g-90cm-100m/","","0","Blocked by robots.txt","2","1"
"https://twitter.com/share?url=https://www.lolaaviamentos.com.br/produtos/tecido-suede-160g/","text/html; charset=utf-8","301","Moved Permanently","2","1"
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lepo-2e90142e5527220a6c17540787267643-50-0.webp","image/webp","200","OK","2","0"
"https://twitter.com/share?url=https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-toque-macio-40g-90cm-100m/","text/html; charset=utf-8","301","Moved Permanently","2","1"
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/foto-lepo-02-30838e0da3682eccb617540787323070-1024-1024.webp","image/webp","200","OK","2","1"
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lec-branca-30cm-f0050dbd0f6488fd7c17567460158771-50-0.webp","image/webp","200","OK","2","0"
"https://acdn-us.mitiendanube.com/stores/001/720/481/categories/entretela-memoria-220-x-1580px-opcao-01-46e33cc38ae8441d9017543381611393-240-0.jpg","image/jpeg","200","OK","2","0"
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/fh-10-aplicacao-01-1-e93d3c69ab89e0716217720270410355-50-0.webp","image/webp","200","OK","2","0"
"https://www.facebook.com/sharer/sharer.php?u=https://www.lolaaviamentos.com.br/produtos/filme-hidrossoluvel-para-bordado-40g-fh-10-15sed/","","0","Blocked by robots.txt","2","1"
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/fh-10-aplicacao-02-1-7799112ac37be85e6617720270410892-50-0.webp","image/webp","200","OK","2","0"
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/fh-10-aplicacao-01-1-e93d3c69ab89e0716217720270410355-1024-1024.webp","image/webp","200","OK","2","1"
"http://pinterest.com/pin/create/button/?url=https%3A%2F%2Fwww.lolaaviamentos.com.br%2Fprodutos%2Ffilme-hidrossoluvel-para-bordado-40g-fh-10-15sed%2F&media=https%3A%2F%2Facdn-us.mitiendanube.com%2Fstores%2F001%2F720%2F481%2Fproducts%2Ffh-10-1-c53a6f956131cf9c2c17720270407516-480-0.webp&description=","","0","Blocked by robots.txt","2","1"
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/fh-10-1-c53a6f956131cf9c2c17720270407516-50-0.webp","image/webp","200","OK","2","0"
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/fh-10-aplicacao-02-1-7799112ac37be85e6617720270410892-1024-1024.webp","image/webp","200","OK","2","1"
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/fh-10-1-c53a6f956131cf9c2c17720270407516-1024-1024.webp","image/webp","200","OK","2","1"
"https://twitter.com/share?url=https://www.lolaaviamentos.com.br/produtos/filme-hidrossoluvel-para-bordado-40g-fh-10-15sed/","text/html; charset=utf-8","301","Moved Permanently","2","1"
"https://acdn-us.mitiendanube.com/stores/001/720/481/categories/banner_site_lola_filme_1580x2201-c2dd96fd6434abeb7816275786673355-240-0.jpg","image/jpeg","200","OK","2","0"
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lab-preta-15m-rolo-1-6b31408bb7abef6e4017550940307200-1024-1024.webp","image/webp","200","OK","2","1"
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lab-preto-e-branco-rolo-c0571e7b2a7fd74f9817550940307248-1024-1024.webp","image/webp","200","OK","2","1"
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lab-preto-e-branco-rolo-c0571e7b2a7fd74f9817550940307248-50-0.webp","image/webp","200","OK","2","0"
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lab-off-white-30-cm-1000-x-1000px-1-c5f487ba2aab077a7717579462874145-50-0.webp","image/webp","200","OK","2","0"
"https://www.facebook.com/sharer/sharer.php?u=https://www.lolaaviamentos.com.br/produtos/entretela-de-tnt-micro-ponto-termocolante-70g-lab-407-408/","","0","Blocked by robots.txt","2","1"
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lab-branco-15m-rolo-20f076366d473a660e17550940306256-50-0.webp","image/webp","200","OK","2","0"
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lab-branco-15m-rolo-20f076366d473a660e17550940306256-1024-1024.webp","image/webp","200","OK","2","1"
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lab-preto-30-cm-1000-x-1000px-1-42cc6925a0b12456c317579462871237-1024-1024.webp","image/webp","200","OK","2","1"
"http://pinterest.com/pin/create/button/?url=https%3A%2F%2Fwww.lolaaviamentos.com.br%2Fprodutos%2Fentretela-de-tnt-micro-ponto-termocolante-70g-lab-407-408%2F&media=https%3A%2F%2Facdn-us.mitiendanube.com%2Fstores%2F001%2F720%2F481%2Fproducts%2Flab-preto-e-branco-rolo-c0571e7b2a7fd74f9817550940307248-480-0.webp&description=","","0","Blocked by robots.txt","2","1"
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lab-off-white-30-cm-1000-x-1000px-1-c5f487ba2aab077a7717579462874145-1024-1024.webp","image/webp","200","OK","2","1"
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lab-preto-30-cm-1000-x-1000px-1-42cc6925a0b12456c317579462871237-50-0.webp","image/webp","200","OK","2","0"
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lab-preta-15m-rolo-1-6b31408bb7abef6e4017550940307200-50-0.webp","image/webp","200","OK","2","0"
"https://twitter.com/share?url=https://www.lolaaviamentos.com.br/produtos/entretela-de-tnt-micro-ponto-termocolante-70g-lab-407-408/","text/html; charset=utf-8","301","Moved Permanently","2","1"
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lab-branco-15m-rolo-761ae2bf3c1bd9b77417550943725967-50-0.webp","image/webp","200","OK","2","0"
