"Address","Content Type","Status Code","Status"
"https://teksea.net/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js","application/javascript","200","OK"
"https://teksea.net/wp-content/uploads/2026/03/kral_bombas_s_rie_k-1024x1024.webp","image/webp","200","OK"
"https://teksea.net/wp-content/uploads/2026/03/images-3.jpeg","image/jpeg","200","OK"
"https://teksea.net/wp-content/uploads/2026/02/svg-Acessorios.svg","image/svg+xml","200","OK"
"https://teksea.net/produto/bms-sistema-de-monitoramento-de-baterias/","text/html; charset=UTF-8","200","OK"
"https://teksea.net/investimentos-bacia-de-campos-setor-offshore/","text/html; charset=UTF-8","200","OK"
"https://teksea.net/wp-content/uploads/2026/04/OFF-TEKSEA-SITE-NOTICIA-1-scaled.png","image/png","200","OK"
"https://teksea.net/produto/tekleakage-monitoramento-de-isolacao-em-barramentos-eletricos/","text/html; charset=UTF-8","200","OK"
"https://teksea.net/wp-content/uploads/2026/03/corenet_corebox_g2-1024x1024.webp","image/webp","200","OK"
"https://teksea.net/produto/teknav-nlc-painel-luzes-de-navegacao-e-sinalizacao/","text/html; charset=UTF-8","200","OK"
"https://teksea.net/subcategoria/compactos-moveis/","text/html; charset=UTF-8","200","OK"
"https://teksea.net/wp-content/uploads/2026/03/kral_display_e_unidade_de_processamento_bem500-1024x1024.webp","image/webp","200","OK"
"https://teksea.net/mercados-que-atendemos/mobilidade-eletrica/","text/html; charset=UTF-8","200","OK"
"https://teksea.net/wp-content/uploads/2026/02/svg-Energia.svg","image/svg+xml","200","OK"
"https://teksea.net/wp-content/uploads/2026/02/svg-Transporte.svg","image/svg+xml","200","OK"
"https://teksea.net/wp-content/uploads/2026/02/img_industrial.webp","image/webp","200","OK"
"https://teksea.net/wp-content/uploads/2026/02/svg-video.svg","image/svg+xml","200","OK"
"https://teksea.net/wp-content/uploads/2026/02/svg-Defesa-Seguranca.svg","image/svg+xml","200","OK"
"https://teksea.net/documentacao/","text/html; charset=UTF-8","200","OK"
"https://teksea.net/subcategoria/conversor-estatico/","text/html; charset=UTF-8","200","OK"
"https://teksea.net/wp-content/uploads/2026/03/tekmation_iamcs_sistema_integrado_de_automa_o-1024x1024.webp","image/webp","200","OK"
