Relatório de locais
Todo o período
Local,Campanha,Grupo de anúncios,Código da moeda,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo,Taxa de conv.,Conversões,Custo / conv.
"15,0|mi|Fort Myers, Flórida",[V4] Search | Leads | Kitchen, --,USD,"1662,45",3.833,449,"11,71%","14,19","6372,18","8,69%","39,00","163,39"
"Cape Coral, Flórida, Estados Unidos",[V4] | Search | Leads | Full Home, --,USD,"1858,48",207,13,"6,28%","29,59","384,71","0,00%","0,00","0,00"
"Naples Park, Flórida, Estados Unidos",[V4] | Search | Leads | Kitchen, --,USD,"1076,93",84,3,"3,57%","30,15","90,46","0,00%","0,00","0,00"
"34109, Flórida, Estados Unidos",[V4] | Search | Leads | Contractors, --,USD,"1284,11",691,47,"6,80%","18,88","887,32","6,38%","3,00","295,77"
"Cape Coral, Flórida, Estados Unidos",[V4] | Search | Leads | Kitchen #2, --,USD,"622,50",4,1,"25,00%","2,49","2,49","0,00%","0,00","0,00"
"34109, Flórida, Estados Unidos",[V4] | Search | Leads | Kitchen #2, --,USD,"3810,00",1,1,"100,00%","3,81","3,81","0,00%","0,00","0,00"
"Villas, Flórida, Estados Unidos",[V4] 08.06 l Remodeling, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.625488, -82.047934) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Punta Gorda, Flórida, Estados Unidos",Search - Mike Renovations, --,USD,"134,75",375,32,"8,53%","1,58","50,53","0,00%","0,00","0,00"
"2,0|km|(26.640345, -81.945925) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"0,00",1,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.085463, -81.767464) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.599705, -82.014632) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Park Shore, Florida, United States",[V4] | Search | Leads | Kitchen #2, --,USD,"6280,00",1,1,"100,00%","6,28","6,28","0,00%","0,00","0,00"
"Fort Myers, Flórida, Estados Unidos",Leads-Performance Max-1, --,USD,"25,14",1.464,56,"3,83%","0,66","36,81","0,00%","0,00","0,00"
"Fort Myers Beach, Flórida, Estados Unidos",[V4] Search | Leads | Kitchen, --,USD,"2192,89",38,2,"5,26%","41,66","83,33","50,00%","1,00","83,33"
"Golden Gate, Flórida, Estados Unidos",[V4] | Search | Leads | Kitchen #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"20,0|mi|Fort Myers, Flórida",[V4] Search | Leads | Home Remodeling, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"34103, Flórida, Estados Unidos",[V4] | Kitchen l Campeões, --,USD,"0,00",2,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.619964, -81.995062) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Fort Myers, Flórida, Estados Unidos",Leads-Search-Mike, --,USD,"31,06",3.418,46,"1,35%","2,31","106,15","2,17%","1,00","106,15"
"Buckingham, Flórida, Estados Unidos",[V4] | Search | Leads | Contractors, --,USD,"2326,58",38,4,"10,53%","22,10","88,41","0,00%","0,00","0,00"
"2,0|km|(26.484039, -81.898890) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"33957, Flórida, Estados Unidos",[V4] Search | Leads | Services Exp1: CPA Desejado, --,USD,"0,00",10,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.133556, -81.774673) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Pine Ridge, Florida, United States",[V4] | Search | Leads | Kitchen #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"34104, Flórida, Estados Unidos",[V4] | Search | Leads | Contractors, --,USD,"1107,44",539,34,"6,31%","17,56","596,91","0,00%","0,00","0,00"
"2,0|km|(26.561451, -82.047205) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"34108, Flórida, Estados Unidos",[V4] Search | Leads | Kitchen, --,USD,"876,57",499,28,"5,61%","15,62","437,41","14,29%","4,00","109,35"
"34119, Flórida, Estados Unidos",[V4] | Search | Leads | Full Home, --,USD,"1606,06",155,8,"5,16%","31,12","248,94","0,00%","0,00","0,00"
"2,0|km|(26.641447, -82.016692) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"34145, Flórida, Estados Unidos",[V4] | Kitchen l Campeões #2, --,USD,"2275,14",37,4,"10,81%","21,05","84,18","0,00%","0,00","0,00"
"Golden Gate, Flórida, Estados Unidos",[V4] 08.06 l Remodeling, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.581102, -81.945305) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.683787, -81.943564) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"0,00",11,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.497559, -81.962061) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.603388, -82.043471) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"0,00",11,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"20,0|mi|(26.794042, -81.977963) (custom)",Campanha 1, --,USD,"181,48",132,2,"1,52%","11,98","23,96","0,00%","0,00","0,00"
"Pine Ridge, Florida, United States",[V4] 08.06 l Remodeling, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Fort Myers, Flórida, Estados Unidos",KITCHEN AND BATHROOMS, --,USD,"452,48",423,32,"7,57%","5,98","191,40","3,13%","1,00","191,40"
"34102, Flórida, Estados Unidos",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.099458, -81.723863) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.458223, -81.926356) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.450079, -81.949707) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"0,00",1,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"34103, Flórida, Estados Unidos",[V4] | Search | Leads | Kitchen, --,USD,"2683,20",54,7,"12,96%","20,70","144,89","0,00%","0,00","0,00"
"Lehigh Acres, Flórida, Estados Unidos",[V4] | Search | Leads | Contractors, --,USD,"1858,01",609,34,"5,58%","33,28","1131,53","0,00%","0,00","0,00"
"Villas, Flórida, Estados Unidos",[V4] | Search | Leads | Kitchen #2, --,USD,"0,00",1,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"Central Naples, Florida, United States",[V4] | Search | Leads | Full Home, --,USD,"3482,07",37,5,"13,51%","25,77","128,84","0,00%","0,00","0,00"
"North Fort Myers, Flórida, Estados Unidos",[V4] 08.07 l Ligação, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Lehigh Acres, Flórida, Estados Unidos",[V4] | Search | Leads | Contractors #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.536881, -81.933909) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.497559, -81.962061) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Park Shore, Florida, United States",[V4] | Search | Leads | Kitchen, --,USD,"838,51",42,1,"2,38%","35,22","35,22","0,00%","0,00","0,00"
"34145, Flórida, Estados Unidos",[V4] Search | Leads | Kitchen, --,USD,"861,47",694,48,"6,92%","12,46","597,86","0,00%","0,00","0,00"
"Estero, Flórida, Estados Unidos",Leads-Search-Mike, --,USD,"15,27",150,1,"0,67%","2,29","2,29","0,00%","0,00","0,00"
"34119, Flórida, Estados Unidos",[V4] Search | Leads | Kitchen, --,USD,"228,70",77,1,"1,30%","17,61","17,61","0,00%","0,00","0,00"
"34119, Flórida, Estados Unidos",[V4] | Search | Leads | Contractors, --,USD,"1031,92",898,53,"5,90%","17,48","926,66","3,77%","2,00","463,33"
"Condado de Sarasota, Flórida, Estados Unidos",Leads-Search-5, --,USD,"67,05",60.688,862,"1,42%","4,72","4068,99","0,81%","7,00","581,28"
"34109, Flórida, Estados Unidos",[V4] 08.06 l Remodeling, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.599523, -81.960345) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.561451, -82.047205) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"North Fort Myers, Flórida, Estados Unidos",[V4] 08.06 l Remodeling, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.619964, -81.995062) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"810,83",12,1,"8,33%","9,73","9,73","0,00%","0,00","0,00"
"Bonita Springs, Flórida, Estados Unidos",Search - Mike Renovations, --,USD,"92,72",217,16,"7,37%","1,26","20,12","0,00%","0,00","0,00"
"34104, Flórida, Estados Unidos",[V4] 08.06 l Remodeling, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.506162, -81.981287) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"0,00",4,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.658017, -81.972746) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.181321, -81.696396) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"0,00",4,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"Cape Coral, Flórida, Estados Unidos",KITCHEN AND BATHROOMS, --,USD,"1647,89",76,13,"17,11%","9,63","125,24","0,00%","0,00","0,00"
"Condado de Charlotte, Flórida, Estados Unidos",Leads-Search-5, --,USD,"82,56",21.747,352,"1,62%","5,10","1795,37","1,70%","6,00","299,23"
"2,0|km|(26.664153, -82.001242) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"3548,75",16,3,"18,75%","18,93","56,78","0,00%","0,00","0,00"
"Lehigh Acres, Flórida, Estados Unidos",[V4] | Search | Leads | Kitchen #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Villas, Flórida, Estados Unidos",[V4] 08.07 l Ligação, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
