Relatório de locais
Todo o período
Local,Campanha,Grupo de anúncios,Código da moeda,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo,Taxa de conv.,Conversões,Custo / conv.
"2,0|km|(26.520908, -82.008753) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.619350, -82.024588) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Naples, Flórida, Estados Unidos",Search - Mike Renovations, --,USD,"134,75",883,75,"8,49%","1,59","118,98","0,00%","0,00","0,00"
"2,0|km|(26.160744, -81.727871) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"1861,43",14,1,"7,14%","26,06","26,06","0,00%","0,00","0,00"
"Estero, Flórida, Estados Unidos",Campanha 1, --,USD,"0,00",100,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"Cape Coral, Flórida, Estados Unidos",[V4] | Search | Leads | Contractors #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Lehigh Acres, Flórida, Estados Unidos",[V4] 08.06 l Remodeling, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.650039, -82.040724) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"0,00",9,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"20,0|mi|Naples, Flórida",[V4] Institucional | Mike Renovations, --,USD,"3750,00",14,5,"35,71%","10,50","52,50","0,00%","0,00","0,00"
"34103, Flórida, Estados Unidos",[V4] | Search | Leads | Contractors, --,USD,"891,60",289,17,"5,88%","15,16","257,67","0,00%","0,00","0,00"
"Naples Park, Flórida, Estados Unidos",[V4] | Search | Leads | Contractors #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Villas, Flórida, Estados Unidos",[V4] | Search | Leads | Kitchen, --,USD,"1254,52",204,10,"4,90%","25,59","255,92","0,00%","0,00","0,00"
"Buckingham, Flórida, Estados Unidos",[V4] | Search | Leads | Kitchen, --,USD,"379,47",19,1,"5,26%","7,21","7,21","0,00%","0,00","0,00"
"Punta Gorda, Flórida, Estados Unidos",Campanha 1, --,USD,"394,00",230,6,"2,61%","15,10","90,62","0,00%","0,00","0,00"
"33957, Flórida, Estados Unidos",[V4] | Kitchen l Campeões #2, --,USD,"8032,50",8,1,"12,50%","64,26","64,26","0,00%","0,00","0,00"
"Lehigh Acres, Flórida, Estados Unidos",[V4] | Search | Leads | Kitchen, --,USD,"4147,76",354,39,"11,02%","37,65","1468,31","41,03%","16,00","91,77"
"Central Naples, Florida, United States",[V4] | Search | Leads | Contractors, --,USD,"1109,86",178,12,"6,74%","16,46","197,55","8,33%","1,00","197,55"
"2,0|km|(26.487881, -81.936317) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.625488, -82.047934) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.603388, -82.043471) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.692376, -81.977553) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"0,00",3,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.507390, -81.915370) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"0,00",4,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"North Fort Myers, Flórida, Estados Unidos",[V4] | Search | Leads | Kitchen, --,USD,"683,79",177,7,"3,95%","17,29","121,03","0,00%","0,00","0,00"
"Naples Park, Flórida, Estados Unidos",[V4] | Search | Leads | Full Home, --,USD,"3124,71",34,3,"8,82%","35,41","106,24","0,00%","0,00","0,00"
"2,0|km|(26.562679, -82.020770) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"34108, Flórida, Estados Unidos",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"North Naples, Florida, United States",[V4] | Search | Leads | Kitchen #2, --,USD,"0,00",2,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"2,0|mi|Island Walk, FL",[V4] Search | Leads | Kitchen, --,USD,"1044,55",165,11,"6,67%","15,67","172,35","0,00%","0,00","0,00"
"2,0|km|(26.683787, -81.943564) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.664153, -82.001242) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.641447, -82.016692) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"0,00",3,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"34145, Flórida, Estados Unidos",[V4] | Search | Leads | Contractors #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.571277, -81.975108) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Park Shore, Florida, United States",[V4] | Search | Leads | Full Home, --,USD,"455,14",37,1,"2,70%","16,84","16,84","0,00%","0,00","0,00"
"Bonita Springs, Flórida, Estados Unidos",Leads-Search-Mike, --,USD,"6,23",101,1,"0,99%","0,63","0,63","0,00%","0,00","0,00"
"34108, Flórida, Estados Unidos",[V4] Search | Leads | Services Exp1: CPA Desejado, --,USD,"2309,56",68,1,"1,47%","157,05","157,05","0,00%","0,00","0,00"
"2,0|km|(26.692376, -81.977553) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Golden Gate, Flórida, Estados Unidos",[V4] | Search | Leads | Full Home, --,USD,"1157,53",81,3,"3,70%","31,25","93,76","0,00%","0,00","0,00"
"North Naples, Florida, United States",[V4] | Search | Leads | Contractors, --,USD,"1123,34",1.001,56,"5,59%","20,08","1124,46","7,14%","4,00","281,12"
"34119, Flórida, Estados Unidos",[V4] | Search | Leads | Contractors #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Cape Coral, Flórida, Estados Unidos",[V4] | Search | Leads | Contractors, --,USD,"1299,08",1.761,121,"6,87%","18,91","2287,68","4,13%","5,00","457,54"
"Lehigh Acres, Flórida, Estados Unidos",[V4] | Search | Leads | Full Home, --,USD,"1476,81",94,6,"6,38%","23,14","138,82","33,33%","2,00","69,41"
"North Fort Myers, Flórida, Estados Unidos",[V4] | Search | Leads | Contractors #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Buckingham, Flórida, Estados Unidos",[V4] Search | Leads | Kitchen, --,USD,"3173,13",16,2,"12,50%","25,39","50,77","0,00%","0,00","0,00"
"20,0|mi|Punta Gorda, Flórida",[V4] Search | Leads | Home Remodeling, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Port Charlotte, Flórida, Estados Unidos",KITCHEN AND BATHROOMS, --,USD,"902,79",69,5,"7,25%","12,46","62,29","0,00%","0,00","0,00"
"North Fort Myers, Flórida, Estados Unidos",[V4] | Search | Leads | Kitchen #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Pine Ridge, Florida, United States",[V4] | Search | Leads | Contractors #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"10,0|mi|Punta Gorda, Flórida",[V4] Search | Leads | Home Remodeling, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.562679, -82.020770) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"3466,25",8,1,"12,50%","27,73","27,73","0,00%","0,00","0,00"
"Buckingham, Flórida, Estados Unidos",[V4] | Search | Leads | Contractors #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.670903, -82.029738) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"0,00",5,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"34145, Flórida, Estados Unidos",[V4] | Search | Leads | Kitchen, --,USD,"1771,76",173,11,"6,36%","27,86","306,51","0,00%","0,00","0,00"
"Bradenton, Flórida, Estados Unidos",Leads-Search-Mike, --,USD,"146,27",243,8,"3,29%","4,44","35,54","0,00%","0,00","0,00"
"2,0|km|(26.670903, -82.029738) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.551009, -81.957255) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"0,00",9,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"Pine Ridge, Florida, United States",[V4] | Search | Leads | Kitchen, --,USD,"805,36",28,1,"3,57%","22,55","22,55","0,00%","0,00","0,00"
"34102, Flórida, Estados Unidos",[V4] Search | Leads | Kitchen, --,USD,"1586,11",494,39,"7,89%","20,09","783,54","2,56%","1,00","783,54"
"20,0|mi|Fort Myers, Flórida",[V4] Institucional | Mike Renovations, --,USD,"1724,58",59,11,"18,64%","9,25","101,75","0,00%","0,00","0,00"
"34104, Flórida, Estados Unidos",[V4] | Search | Leads | Full Home, --,USD,"834,68",68,2,"2,94%","28,38","56,76","0,00%","0,00","0,00"
"Englewood, Flórida, Estados Unidos",Leads-Search-Mike, --,USD,"0,00",178,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.658017, -81.972746) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"0,00",6,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"34102, Flórida, Estados Unidos",[V4] | Search | Leads | Contractors #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Port Charlotte, Flórida, Estados Unidos",Leads-Search-Mike, --,USD,"9,60",160,3,"1,88%","0,51","1,54","0,00%","0,00","0,00"
"5,0|mi|Bonita Springs, Flórida",[V4] Search | Leads | Kitchen, --,USD,"1394,02",1.969,155,"7,87%","17,71","2744,82","5,81%","9,00","304,98"
"10,0|mi|Naples, Flórida",[V4] Search | Leads | Services Exp1: CPA Desejado, --,USD,"716,09",437,16,"3,66%","19,56","312,93","6,25%","1,00","312,93"
"Port Charlotte, Flórida, Estados Unidos",Leads-Performance Max-1, --,USD,"21,01",97,3,"3,09%","0,68","2,04","0,00%","0,00","0,00"
"Lehigh Acres, Flórida, Estados Unidos",[V4] 08.07 l Ligação, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Central Naples, Florida, United States",[V4] | Search | Leads | Kitchen, --,USD,"303,14",35,1,"2,86%","10,61","10,61","0,00%","0,00","0,00"
"Park Shore, Florida, United States",[V4] | Search | Leads | Contractors #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.640345, -81.945925) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Anna Maria, Flórida, Estados Unidos",Leads-Search-Mike, --,USD,"0,00",10,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.582945, -82.034503) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"10980,00",1,1,"100,00%","10,98","10,98","0,00%","0,00","0,00"
"2,0|km|(26.188407, -81.718712) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"1190,00",9,1,"11,11%","10,71","10,71","0,00%","0,00","0,00"
"2,0|km|(26.549166, -81.995020) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"2470,48",21,2,"9,52%","25,94","51,88","0,00%","0,00","0,00"
"2,0|km|(26.450079, -81.949707) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"34145, Flórida, Estados Unidos",[V4] | Search | Leads | Contractors, --,USD,"1612,42",451,33,"7,32%","22,04","727,20","0,00%","0,00","0,00"
"2,0|km|(26.551009, -81.957255) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Cape Coral, Flórida, Estados Unidos",[V4] 08.07 l Ligação, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Villas, Flórida, Estados Unidos",[V4] | Search | Leads | Contractors, --,USD,"584,22",322,14,"4,35%","13,44","188,12","0,00%","0,00","0,00"
"2,0|km|(26.599705, -82.014632) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Pine Ridge, Florida, United States",[V4] | Search | Leads | Full Home, --,USD,"4586,55",29,5,"17,24%","26,60","133,01","0,00%","0,00","0,00"
"34102, Flórida, Estados Unidos",[V4] | Search | Leads | Kitchen #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"34103, Flórida, Estados Unidos",[V4] Search | Leads | Kitchen, --,USD,"1215,53",374,23,"6,15%","19,77","454,61","0,00%","0,00","0,00"
"34145, Flórida, Estados Unidos",[V4] Search | Leads | Services Exp1: CPA Desejado, --,USD,"2205,19",62,3,"4,84%","45,57","136,72","0,00%","0,00","0,00"
"North Fort Myers, Flórida, Estados Unidos",Campanha 1, --,USD,"245,91",129,2,"1,55%","15,86","31,72","0,00%","0,00","0,00"
"Sanibel, Flórida, Estados Unidos",Leads-Performance Max-1, --,USD,"14,46",4,0,"0,00%",0,"0,06","0,00%","0,00","0,00"
"2,0|km|(26.637151, -81.980986) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.476663, -81.957942) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.111362, -81.771584) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"34104, Flórida, Estados Unidos",[V4] | Search | Leads | Kitchen, --,USD,"1819,81",165,13,"7,88%","23,10","300,27","0,00%","0,00","0,00"
"Central Naples, Florida, United States",[V4] 08.07 l Ligação, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.692376, -82.044157) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"7157,50",4,1,"25,00%","28,63","28,63","0,00%","0,00","0,00"
"Cape Coral, Flórida, Estados Unidos",Leads-Search-MIKE, --,USD,"0,00",4,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"Port Charlotte, Flórida, Estados Unidos",Campanha 1, --,USD,"248,30",279,5,"1,79%","13,86","69,28","0,00%","0,00","0,00"
"Golden Gate, Flórida, Estados Unidos",[V4] Search | Leads | Kitchen, --,USD,"1112,31",78,6,"7,69%","14,46","86,76","0,00%","0,00","0,00"
"Fort Myers, Flórida, Estados Unidos",Leads-Search-5, --,USD,"627,32",1.916,144,"7,52%","8,35","1201,95","6,94%","10,00","120,19"
"North Fort Myers, Flórida, Estados Unidos",[V4] | Search | Leads | Contractors, --,USD,"664,11",389,19,"4,88%","13,60","258,34","0,00%","0,00","0,00"
"34145, Flórida, Estados Unidos",[V4] 08.07 l Ligação, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"20,0|mi|Fort Myers, Flórida",[V4] Institucional | Concorrentes, --,USD,"402,53",75,3,"4,00%","10,06","30,19","0,00%","0,00","0,00"
"2,0|km|(26.506162, -81.981287) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.536881, -81.933909) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"0,00",5,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"Cape Coral, Flórida, Estados Unidos",Campanha 1, --,USD,"301,10",525,11,"2,10%","14,37","158,08","0,00%","0,00","0,00"
"34104, Flórida, Estados Unidos",[V4] | Search | Leads | Kitchen #2, --,USD,"0,00",1,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"Naples Park, Flórida, Estados Unidos",[V4] | Search | Leads | Contractors, --,USD,"426,12",181,8,"4,42%","9,64","77,13","0,00%","0,00","0,00"
"33957, Flórida, Estados Unidos",[V4] Search | Leads | Kitchen, --,USD,"861,20",198,14,"7,07%","12,18","170,52","0,00%","0,00","0,00"
"Fort Myers, Flórida, Estados Unidos",Leads-Search-MIKE, --,USD,"6,99",131,1,"0,76%","0,92","0,92","0,00%","0,00","0,00"
"34145, Flórida, Estados Unidos",[V4] | Search | Leads | Kitchen #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.650039, -82.040724) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.133556, -81.774673) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"189,28",21,1,"4,76%","3,97","3,97","0,00%","0,00","0,00"
"34109, Flórida, Estados Unidos",[V4] | Search | Leads | Kitchen, --,USD,"2344,05",208,16,"7,69%","30,47","487,56","0,00%","0,00","0,00"
"34103, Flórida, Estados Unidos",[V4] | Search | Leads | Kitchen #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Park Shore, Florida, United States",[V4] | Search | Leads | Contractors, --,USD,"681,84",237,13,"5,49%","12,43","161,60","7,69%","1,00","161,60"
"2,0|km|(26.160744, -81.727871) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"34119, Flórida, Estados Unidos",[V4] 08.07 l Ligação, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"North Naples, Florida, United States",[V4] | Search | Leads | Kitchen, --,USD,"1441,75",268,16,"5,97%","24,15","386,39","0,00%","0,00","0,00"
"Cape Coral, Flórida, Estados Unidos",[V4] 08.06 l Remodeling, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.578646, -82.008133) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.612416, -81.935005) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"0,00",5,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"Sarasota, Flórida, Estados Unidos",Leads-Search-Mike, --,USD,"18,37",331,2,"0,60%","3,04","6,08","0,00%","0,00","0,00"
"2,0|km|(26.076949, -81.709100) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|mi|Heritage Bay, FL",[V4] Search | Leads | Kitchen, --,USD,"1105,00",42,6,"14,29%","7,74","46,41","0,00%","0,00","0,00"
"Naples Park, Flórida, Estados Unidos",[V4] 08.07 l Ligação, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Golden Gate, Flórida, Estados Unidos",[V4] 08.07 l Ligação, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.487881, -81.936317) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"0,00",1,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"34109, Flórida, Estados Unidos",[V4] | Search | Leads | Contractors #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"34145, Flórida, Estados Unidos",[V4] | Search | Leads | Full Home, --,USD,"1463,72",78,6,"7,69%","19,03","114,17","0,00%","0,00","0,00"
"Buckingham, Flórida, Estados Unidos",[V4] | Search | Leads | Kitchen #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"34102, Flórida, Estados Unidos",[V4] | Search | Leads | Kitchen, --,USD,"1214,70",127,5,"3,94%","30,85","154,27","0,00%","0,00","0,00"
"Punta Gorda, Flórida, Estados Unidos",Leads-Performance Max-1, --,USD,"19,70",69,3,"4,35%","0,45","1,36","0,00%","0,00","0,00"
"2,0|km|(26.476663, -81.957942) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"0,00",1,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"Park Shore, Florida, United States",[V4] 08.07 l Ligação, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"34104, Flórida, Estados Unidos",[V4] | Search | Leads | Contractors #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"34217, Flórida, Estados Unidos",Leads-Search-Mike, --,USD,"0,00",19,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"Naples, Flórida, Estados Unidos",Leads-Search-Mike, --,USD,"15,62",1.051,9,"0,86%","1,82","16,41","0,00%","0,00","0,00"
"Tampa-St. Petersburg (Sarasota) FL, Florida, United States",Leads-Search-Mike, --,USD,"38,63",11.090,162,"1,46%","2,64","428,41","0,00%","0,00","0,00"
"Pine Ridge, Florida, United States",[V4] 08.07 l Ligação, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"San Carlos Park, Flórida, Estados Unidos",Leads-Search-5, --,USD,"0,00",2,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.181321, -81.696396) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.571277, -81.975108) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"0,00",1,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.685628, -82.002272) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"0,00",1,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.484039, -81.898890) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Arcadia, Flórida, Estados Unidos",Leads-Search-Mike, --,USD,"0,00",135,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"33957, Flórida, Estados Unidos",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.673357, -82.052740) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"34102, Flórida, Estados Unidos",[V4] | Kitchen l Campeões #2, --,USD,"1439,52",21,3,"14,29%","10,08","30,23","0,00%","0,00","0,00"
"2,0|km|(26.622238, -81.957942) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Golden Gate, Flórida, Estados Unidos",[V4] | Search | Leads | Contractors, --,USD,"900,34",441,23,"5,22%","17,26","397,05","4,35%","1,00","397,05"
Total: Locais,,,USD,"181,24",318.554,7.705,"2,42%","7,49","57733,71","1,88%","145,00","398,16"
Total: Outros locais,,,USD,"569,14",25.838,1.288,"4,98%","11,42","14705,36","1,79%","23,00","639,36"
Total: Conta,,,USD,"128,99",571.038,13.779,"2,41%","5,35","73655,67","1,23%","170,00","433,27"
Total: Pesquisa,,,USD,"215,57",333.908,8.285,"2,48%","8,69","71981,53","2,03%","168,00","428,46"
Total: Geração de demanda,,,USD,"49,02",8.200,626,"7,63%","0,64","401,95","0,00%","0,00","0,00"
Total: Inteligente,,,USD,"5,37",226.646,4.786,"2,11%","0,25","1216,60","0,04%","2,00","608,30"
Total: Performance Max,,,USD,"24,34",2.284,82,"3,59%","0,68","55,59","0,00%","0,00","0,00"
