Relatório de palavras-chave da rede de pesquisa
Todo o período
Ação de conversão,Status da palavra-chave,Palavra-chave,Tipo de corresp.,Campanha,Grupo de anúncios,Status,Motivos do status,URL final,Código da moeda,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo,Cliques,Taxa de conv.,Conversões,CPC méd.,Custo / conv.
mikerenovations.com (web) generate_lead,,,Total: Correspondências de páginas de destino da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Envio de Formulário - Site,,,Total: Correspondências de páginas de destino da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Book Estimate,,,Total: Correspondências de páginas de destino da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Calls from Smart Campaign Ads,,,Total: Correspondências de páginas de destino da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Business profile - Tracked call,,,Total: Correspondências de páginas de destino da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Business profile - Call,,,Total: Correspondências de páginas de destino da AI Max,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
,,,Total: Inclusões de URL na sua conta,,,,,,USD,0,0,0, --,0,"0,00",0,"0,00%","0,00",0,"0,00"
Agendamento | Site,,,Total: Inclusões de URL na sua conta,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Envio de Formulário - Site,,,Total: Inclusões de URL na sua conta,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Business profile - Form submit,,,Total: Inclusões de URL na sua conta,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Business profile - Form,,,Total: Inclusões de URL na sua conta,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
mikerenovations.com (web) generate_lead,,,Total: Inclusões de URL na sua conta,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Calls from ads,,,Total: Inclusões de URL na sua conta,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Sessão 45seg,,,Total: Inclusões de URL na sua conta,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Business profile - Tracked call,,,Total: Inclusões de URL na sua conta,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
V4 - Envio de Formulário,,,Total: Inclusões de URL na sua conta,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Book Estimate,,,Total: Inclusões de URL na sua conta,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Sessão 40seg,,,Total: Inclusões de URL na sua conta,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Clique no Botão de Ligação,,,Total: Inclusões de URL na sua conta,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Sessão 35seg,,,Total: Inclusões de URL na sua conta,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Calls from Smart Campaign Ads,,,Total: Inclusões de URL na sua conta,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Business profile - Call,,,Total: Inclusões de URL na sua conta,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
