"Address","Content Type","Size (bytes)","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lf-05-30cm-fd95955279ac5ca4b117689982727341-1024-1024.webp","image/webp","25692","0","Indexable","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/filme-magico-lf-05-02-b74315d69899028b4517559100484937-50-0.webp","image/webp","4266","2","Indexable","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/filme-magico-lf-05-04-db439c7b3fcc80d22d17559100483989-50-0.webp","image/webp","3490","2","Indexable","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lf-05-84ba126b3c9df20e8417559100482735-50-0.webp","image/webp","3598","2","Indexable","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/filme-magico-lf-05-04-db439c7b3fcc80d22d17559100483989-1024-1024.webp","image/webp","61110","0","Indexable","",""
"https://assets.pinterest.com/images/PinExt.png","image/png","936","81","Indexable","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lf-05-84ba126b3c9df20e8417559100482735-1024-1024.webp","image/webp","25488","0","Indexable","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lf-05-30cm-fd95955279ac5ca4b117689982727341-50-0.webp","image/webp","3602","2","Indexable","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/filme-magico-lf-05-02-b74315d69899028b4517559100484937-1024-1024.webp","image/webp","58642","0","Indexable","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lec-off-white-30cm-1-c7221a01458b1b6b5217567373085412-1024-1024.webp","image/webp","19908","0","Indexable","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/entretela-para-bordado-rasgavel-40g-90cm-200m_lola1-22732f95aedd2233cb16328392133492-1024-1024.jpg","image/jpeg","142911","0","Indexable","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lec-branca-01-c14299a719d70caa0217539730573832-1024-1024.webp","image/webp","42988","0","Indexable","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lec-off-white-58a171063172d46d0017567373086152-50-0.webp","image/webp","3582","2","Indexable","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lec-branca-30cm-37e02cce725904df9617567373085604-1024-1024.webp","image/webp","18358","0","Indexable","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/entretela-para-bordado-rasgavel-40g-90cm-200m_lola1-22732f95aedd2233cb16328392133492-50-0.jpg","image/jpeg","2533","4","Indexable","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lec-branca-30cm-37e02cce725904df9617567373085604-50-0.webp","image/webp","3534","2","Indexable","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lec-off-white-58a171063172d46d0017567373086152-1024-1024.webp","image/webp","23316","0","Indexable","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lec-branca-06-db2f9d824d098556a917539730515661-50-0.webp","image/webp","3800","4","Indexable","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lec-branca-06-db2f9d824d098556a917539730515661-1024-1024.webp","image/webp","286742","0","Indexable","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lec-off-white-30cm-1-c7221a01458b1b6b5217567373085412-50-0.webp","image/webp","3572","4","Indexable","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lec-branca-01-c14299a719d70caa0217539730573832-50-0.webp","image/webp","3446","4","Indexable","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lec-branco-1-e5b19ae55c01d610a817539730129902-50-0.webp","image/webp","3556","4","Indexable","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lec-branco-1-e5b19ae55c01d610a817539730129902-1024-1024.webp","image/webp","21936","0","Indexable","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/fita-magica-lola-1200-x-1200px-produto-1-dd60719b0c085e3d6517828274467346-50-0.webp","image/webp","3618","2","Indexable","",""
