"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://www.lolaaviamentos.com.br/entretela-de-memoria/","text/html; charset=UTF-8","200","OK","Indexable","","2443ef46711fe3a45d4d56315fb2d868","55","https://www.lolaaviamentos.com.br/entretela-de-memoria/","https://www.lolaaviamentos.com.br/entretela-de-memoria/"
"https://www.lolaaviamentos.com.br/bordado1/","text/html; charset=UTF-8","200","OK","Indexable","","38f314f13bb1568de50e15da50d2a20b","43","https://www.lolaaviamentos.com.br/bordado1/","https://www.lolaaviamentos.com.br/bordado1/"
"https://lolaaviamentos.com.br/entretela-de-memoria/branca/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","be327148623ad814a2ddcfa101edead5","58","https://www.lolaaviamentos.com.br/entretela-de-memoria/branca/","https://lolaaviamentos.com.br/entretela-de-memoria/branca/"
"https://lolaaviamentos.com.br/liquidacao/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","82a43e60ff28eed455fb4a622361a17","41","https://www.lolaaviamentos.com.br/liquidacao/","https://lolaaviamentos.com.br/liquidacao/"
"https://lolaaviamentos.com.br/entretela-alfaiataria/tnt-termocolante/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","bfa5937dd43ca7d1a66411a3684eb61e","69","https://www.lolaaviamentos.com.br/entretela-alfaiataria/tnt-termocolante/","https://lolaaviamentos.com.br/entretela-alfaiataria/tnt-termocolante/"
"https://www.lolaaviamentos.com.br/produtos/filme-hidrossoluvel-para-bordado-40g-fh-10-15sed/","text/html; charset=UTF-8","200","OK","Indexable","","beca11886a563eec2e57cfdbd2e3e8f4","92","https://www.lolaaviamentos.com.br/produtos/filme-hidrossoluvel-para-bordado-40g-fh-10-15sed/","https://www.lolaaviamentos.com.br/produtos/filme-hidrossoluvel-para-bordado-40g-fh-10-15sed/"
"https://lolaaviamentos.com.br/insumos-para-bones/tela/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","159d996f085f2a38852f6a91a752c955","54","https://www.lolaaviamentos.com.br/insumos-para-bones/tela/","https://lolaaviamentos.com.br/insumos-para-bones/tela/"
"https://lolaaviamentos.com.br/entretela-alfaiataria/tecido-plano/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","16fcb7c7169aad2fe91a5afbdbca4c8e","65","https://www.lolaaviamentos.com.br/entretela-alfaiataria/tecido-plano/","https://lolaaviamentos.com.br/entretela-alfaiataria/tecido-plano/"
"https://lolaaviamentos.com.br/bordado1/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","c550f362f164821f31fe1901c6b4712f","39","https://www.lolaaviamentos.com.br/bordado1/","https://lolaaviamentos.com.br/bordado1/"
"https://lolaaviamentos.com.br/insumos-para-bones/vies1/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","ed66b798ef033e031c8f4bbb44c27d00","55","https://www.lolaaviamentos.com.br/insumos-para-bones/vies1/","https://lolaaviamentos.com.br/insumos-para-bones/vies1/"
"https://www.lolaaviamentos.com.br/","text/html; charset=UTF-8","200","OK","Indexable","","3f53435ad5be78a75f4ba419f1ff8200","34","https://www.lolaaviamentos.com.br/","https://www.lolaaviamentos.com.br/"
"https://lolaaviamentos.com.br/entretela-alfaiataria/entretelas-de-malha/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","4eb6478fdc98e0201ae24bb8f30d9dec","72","https://www.lolaaviamentos.com.br/entretela-alfaiataria/entretelas-de-malha/","https://lolaaviamentos.com.br/entretela-alfaiataria/entretelas-de-malha/"
"https://lolaaviamentos.com.br/cdn-cgi/l/email-protection","text/html","404","Not Found","Non-Indexable","Client Error","","56","","https://lolaaviamentos.com.br/cdn-cgi/l/email-protection"
"https://lolaaviamentos.com.br/insumos-para-bones/aba-plastica/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","ff75f13c0bd838550a120afbd0471d9e","62","https://www.lolaaviamentos.com.br/insumos-para-bones/aba-plastica/","https://lolaaviamentos.com.br/insumos-para-bones/aba-plastica/"
"https://lolaaviamentos.com.br/entretela-alfaiataria/algodao/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","961cad93ce3b382cfaca96615f9b81d6","60","https://www.lolaaviamentos.com.br/entretela-alfaiataria/algodao/","https://lolaaviamentos.com.br/entretela-alfaiataria/algodao/"
"https://lolaaviamentos.com.br/account/login/","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","44","","https://lolaaviamentos.com.br/account/login/"
"https://lolaaviamentos.com.br/entretela-alfaiataria/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","c0cc8ea28d04577c2e884e30b7b6bb10","52","https://www.lolaaviamentos.com.br/entretela-alfaiataria/","https://lolaaviamentos.com.br/entretela-alfaiataria/"
"https://www.lolaaviamentos.com.br/produtos/entretela-de-tnt-micro-ponto-termocolante-70g-lab-407-408/","text/html; charset=UTF-8","200","OK","Indexable","","d1daecfbead867b2edf491628180316e","101","https://www.lolaaviamentos.com.br/produtos/entretela-de-tnt-micro-ponto-termocolante-70g-lab-407-408/","https://www.lolaaviamentos.com.br/produtos/entretela-de-tnt-micro-ponto-termocolante-70g-lab-407-408/"
"https://lolaaviamentos.com.br/bordado1/filmes/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","1cce83f64f5a208b92cc9f88ea3f106","46","https://www.lolaaviamentos.com.br/bordado1/filmes/","https://lolaaviamentos.com.br/bordado1/filmes/"
"https://lolaaviamentos.com.br/insumos-para-bones/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","c5328db3772ca80ecefa207103606604","49","https://www.lolaaviamentos.com.br/insumos-para-bones/","https://lolaaviamentos.com.br/insumos-para-bones/"
"https://lolaaviamentos.com.br/produtos/tela-de-poliester-mesh-7dmsd/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","e3689eb599613b8c4549a294c83603f1","68","https://www.lolaaviamentos.com.br/produtos/tela-de-poliester-mesh-7dmsd/","https://lolaaviamentos.com.br/produtos/tela-de-poliester-mesh-7dmsd/"
"https://lolaaviamentos.com.br/bordado1/termocolante/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","bf32a72cd2b044519f4a71ce1ae834c1","52","https://www.lolaaviamentos.com.br/bordado1/termocolante/","https://lolaaviamentos.com.br/bordado1/termocolante/"
"https://www.lolaaviamentos.com.br/insumos-para-bones/","text/html; charset=UTF-8","200","OK","Indexable","","4417dd54e76f7ed8e6ae2115e996cd00","53","https://www.lolaaviamentos.com.br/insumos-para-bones/","https://www.lolaaviamentos.com.br/insumos-para-bones/"
"https://www.lolaaviamentos.com.br/produtos/entretela-de-tnt-micro-ponto-termocolante-60g-lab-409-410/","text/html; charset=UTF-8","200","OK","Indexable","","ab34de19a1045f2391cc8a87093e00d9","101","https://www.lolaaviamentos.com.br/produtos/entretela-de-tnt-micro-ponto-termocolante-60g-lab-409-410/","https://www.lolaaviamentos.com.br/produtos/entretela-de-tnt-micro-ponto-termocolante-60g-lab-409-410/"
"https://lolaaviamentos.com.br/account/reset","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","43","","https://lolaaviamentos.com.br/account/reset"
