"Path 1","Path 2","Path 3","Path 4","Path 5","Path 6","Path 7","URLs","Indexable","Non-Indexable"
"","","bordado1/","","","","","6","6","0"
"","","","filmes/","","","","1","1","0"
"","","","hidrossoluvel/","","","","1","1","0"
"","","","toque-macio/","","","","1","1","0"
"","","","termocolante/","","","","1","1","0"
"","","","rasgo-facil/","","","","1","1","0"
"","","insumos-para-bones/","","","","","6","6","0"
"","","","regulador-plastico/","","","","1","1","0"
"","","","tela/","","","","1","1","0"
"","","","suede1/","","","","1","1","0"
"","","","aba-plastica/","","","","1","1","0"
"","","","vies1/","","","","1","1","0"
"","","entretela-alfaiataria/","","","","","6","6","0"
"","","","tecido-plano/","","","","1","1","0"
"","","","entretelas-de-malha/","","","","1","1","0"
"","","","tnt-termocolante/","","","","1","1","0"
"","","","termocolante1/","","","","1","1","0"
"","","","algodao/","","","","1","1","0"
"","","entretela-de-memoria/","","","","","4","4","0"
"","","","cinza/","","","","1","1","0"
"","","","branca/","","","","1","1","0"
"","","","preta/","","","","1","1","0"
"","","account/","","","","","3","0","3"
"","","","login/","","","","1","0","1"
"","","","register","","","","1","0","1"
"","","","reset","","","","1","0","1"
"","","cdn-cgi/","","","","","2","1","1"
"","","","scripts/","","","","1","1","0"
"","","","","5c5dd728/","","","1","1","0"
"","","","","","cloudflare-static/","","1","1","0"
"","","","","","","email-decode.min.js","1","1","0"
"","","","l/","","","","1","0","1"
"","","","","email-protection","","","1","0","1"
"","","empresa/","","","","","1","1","0"
"","","politica_privacidade/","","","","","1","1","0"
"","","trocas-devolucoes/","","","","","1","1","0"
"","","maquinas-acessorios/","","","","","1","1","0"
"","","acessorios/","","","","","1","1","0"
"","","contato/","","","","","1","1","0"
"","","liquidacao/","","","","","1","1","0"
"","","filme/","","","","","1","1","0"
"","","https-www-lolaaviamentos-com-br-produtos-filme-plastico-magico-para-bordado-45g/","","","","","1","1","0"
"","lolaaviamentos.com.br/","","","","","","38","1","37"
"","","insumos-para-bones/","","","","","6","0","6"
"","","","regulador-plastico/","","","","1","0","1"
"","","","suede1/","","","","1","0","1"
"","","","tela/","","","","1","0","1"
"","","","vies1/","","","","1","0","1"
"","","","aba-plastica/","","","","1","0","1"
"","","bordado1/","","","","","6","0","6"
"","","","toque-macio/","","","","1","0","1"
"","","","filmes/","","","","1","0","1"
"","","","termocolante/","","","","1","0","1"
"","","","hidrossoluvel/","","","","1","0","1"
"","","","rasgo-facil/","","","","1","0","1"
"","","entretela-alfaiataria/","","","","","6","0","6"
"","","","termocolante1/","","","","1","0","1"
"","","","tnt-termocolante/","","","","1","0","1"
"","","","tecido-plano/","","","","1","0","1"
"","","","entretelas-de-malha/","","","","1","0","1"
"","","","algodao/","","","","1","0","1"
"","","produtos/","","","","","5","0","5"
"","","","entretela-para-bordado-rasgavel-40g-90cm-200m/","","","","1","0","1"
"","","","kit-fita-dupla-face-19mm-x-30m-fd-01/","","","","1","0","1"
"","","","tela-de-poliester-mesh-7dmsd/","","","","1","0","1"
"","","","entretelas-tecido-de-algodao-termocolante-etp-15m-x-100m/","","","","1","0","1"
"","","entretela-de-memoria/","","","","","4","0","4"
"","","","cinza/","","","","1","0","1"
"","","","branca/","","","","1","0","1"
"","","","preta/","","","","1","0","1"
"","","account/","","","","","3","0","3"
"","","","register","","","","1","0","1"
"","","","login/","","","","1","0","1"
"","","","reset","","","","1","0","1"
"","","cdn-cgi/","","","","","2","1","1"
"","","","l/","","","","1","0","1"
"","","","","email-protection","","","1","0","1"
"","","","scripts/","","","","1","1","0"
"","","","","5c5dd728/","","","1","1","0"
"","","","","","cloudflare-static/","","1","1","0"
"","","","","","","email-decode.min.js","1","1","0"
"","","search/","","","","","1","0","1"
"","","","?q=tela+lt","","","","1","0","1"
"","","acessorios/","","","","","1","0","1"
"","","contato/","","","","","1","0","1"
"","","liquidacao/","","","","","1","0","1"
"","","maquinas-acessorios/","","","","","1","0","1"
