"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://lolaaviamentos.com.br/maquinas-acessorios/","1","Máquinas para Confecção","23","232","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/entretela-alfaiataria/","1","Entretelas para Alfaiataria","27","234","Indexable",""
"https://lolaaviamentos.com.br/produtos/entretelas-tecido-de-algodao-termocolante-etp-15m-x-100m/","1","Entretelas de Algodão Termocolante","34","326","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/https-www-lolaaviamentos-com-br-acessorios/","1","Aparelho de Bronze para Viés 25 e 30mm - Ajuste Preciso","55","514","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/botao-de-forrar-encapar-para-bone-15mm-1000un/","1","Botão de Forrar / Encapar para Boné 15mm 1.000un.","49","467","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-hidrossoluvel-para-bordado-60g-52cm-25m/","1","Entretela Hidrossolúvel para Bordado 60g 52cm x 25m","51","484","Indexable",""
"https://lolaaviamentos.com.br/entretela-de-memoria/","1","Entretela de Memória Termocolante","33","323","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/entretela-de-memoria/cinza/","1","Cinza","5","50","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-cavalinho-de-memoria-termocolante-cinza-285g-16-100m/","1","Entretela Cavalinho de Memória Termocolante Cinza","49","471","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-cavalinho-de-memoria-termocolante-cinza-330g/","1","Entretela Cavalinho de Memória Termocolante Cinza 330g","54","520","Indexable",""
"https://www.lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/","1","Regulador Plástico","18","167","Indexable",""
"https://www.lolaaviamentos.com.br/bordado1/filmes/","1","Filmes","6","60","Indexable",""
"https://www.lolaaviamentos.com.br/bordado1/hidrossoluvel/","1","Entretela Hidrossolúvel","23","207","Indexable",""
"https://www.lolaaviamentos.com.br/bordado1/toque-macio/","1","Entretelas de Toque Macio","25","238","Indexable",""
"https://www.lolaaviamentos.com.br/entretela-alfaiataria/tecido-plano/","1","Tecido Plano","12","116","Indexable",""
"https://www.lolaaviamentos.com.br/bordado1/termocolante/","1","Entretelas Termocolantes","24","231","Indexable",""
"https://www.lolaaviamentos.com.br/maquinas-acessorios/","1","Máquinas para Confecção","23","232","Indexable",""
"https://www.lolaaviamentos.com.br/insumos-para-bones/tela/","1","Tela","4","39","Indexable",""
"https://www.lolaaviamentos.com.br/bordado1/rasgo-facil/","1","Rasgo Fácil","11","102","Indexable",""
"https://www.lolaaviamentos.com.br/acessorios/","1","Acessórios","10","98","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/","1","Compre online produtos de Lola Aviamentos - Entretelas para confecções e insumos para Bonés","91","857","Indexable",""
"https://www.lolaaviamentos.com.br/entretela-de-memoria/branca/","1","Branca","6","62","Indexable",""
"https://www.lolaaviamentos.com.br/entretela-alfaiataria/entretelas-de-malha/","1","Entretelas de Malha","19","178","Indexable",""
"https://www.lolaaviamentos.com.br/entretela-alfaiataria/tnt-termocolante/","1","TNT Termocolante","16","168","Indexable",""
"https://www.lolaaviamentos.com.br/contato/","1","Contato - Lola Aviamentos - Entretelas para confecções e insumos para Bonés","75","698","Indexable",""
"https://www.lolaaviamentos.com.br/liquidacao/","1","Liquidação","10","97","Indexable",""
