"Address","Indexability","Indexability Status","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks"
"https://www.lolaaviamentos.com.br/trocas-devolucoes/","Indexable","","1","","154","142","0","100.000","78","35","0","14","6","0"
"https://www.lolaaviamentos.com.br/produtos/regulador-plastico-para-bone-1000-un/","Indexable","","1","","70","17","0","11.970","91","36","0","27","18","0"
"https://lolaaviamentos.com.br/bordado1/rasgo-facil/","Non-Indexable","Canonicalised","1","","98","33","0","23.240","125","45","0","14","6","0"
"https://lolaaviamentos.com.br/entretela-de-memoria/preta/","Non-Indexable","Canonicalised","1","","81","33","0","23.240","88","38","0","14","6","0"
"https://lolaaviamentos.com.br/maquinas-acessorios/","Non-Indexable","Canonicalised","1","","81","33","0","23.240","113","46","0","14","6","0"
"https://www.lolaaviamentos.com.br/entretela-alfaiataria/","Indexable","","1","","353","142","0","100.000","151","47","0","14","6","0"
"https://lolaaviamentos.com.br/produtos/entretelas-tecido-de-algodao-termocolante-etp-15m-x-100m/","Non-Indexable","Canonicalised","1","","29","3","0","2.110","100","40","0","22","13","0"
"https://www.lolaaviamentos.com.br/produtos/https-www-lolaaviamentos-com-br-acessorios/","Indexable","","1","","73","18","0","12.680","114","44","0","21","12","0"
"https://www.lolaaviamentos.com.br/produtos/botao-de-forrar-encapar-para-bone-15mm-1000un/","Indexable","","1","","65","10","0","7.040","130","44","0","19","10","0"
"https://www.lolaaviamentos.com.br/produtos/entretela-hidrossoluvel-para-bordado-60g-52cm-25m/","Indexable","","1","","50","9","0","6.340","101","38","0","19","10","0"
"https://lolaaviamentos.com.br/entretela-de-memoria/","Non-Indexable","Canonicalised","2","","31","4","0","2.820","120","47","0","14","6","0"
"https://www.lolaaviamentos.com.br/entretela-de-memoria/cinza/","Indexable","","2","","241","110","0","77.460","93","37","0","14","6","0"
"https://www.lolaaviamentos.com.br/produtos/entretela-cavalinho-de-memoria-termocolante-cinza-285g-16-100m/","Indexable","","2","","39","6","0","4.230","96","37","0","19","10","0"
"https://www.lolaaviamentos.com.br/produtos/entretela-cavalinho-de-memoria-termocolante-cinza-330g/","Indexable","","2","","41","7","0","4.930","104","40","0","19","10","0"
"https://www.lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/","Indexable","","2","","238","110","0","77.460","88","36","0","14","6","0"
"https://www.lolaaviamentos.com.br/bordado1/filmes/","Indexable","","2","","243","110","0","77.460","98","38","0","14","6","0"
"https://www.lolaaviamentos.com.br/bordado1/hidrossoluvel/","Indexable","","2","","246","110","0","77.460","100","38","0","14","6","0"
"https://www.lolaaviamentos.com.br/bordado1/toque-macio/","Indexable","","2","","265","110","0","77.460","139","47","0","14","6","0"
"https://www.lolaaviamentos.com.br/entretela-alfaiataria/tecido-plano/","Indexable","","2","","246","110","0","77.460","100","38","0","14","6","0"
"https://www.lolaaviamentos.com.br/bordado1/termocolante/","Indexable","","2","","248","110","0","77.460","113","41","0","14","6","0"
"https://www.lolaaviamentos.com.br/maquinas-acessorios/","Indexable","","2","","247","110","0","77.460","113","45","0","14","6","0"
"https://www.lolaaviamentos.com.br/insumos-para-bones/tela/","Indexable","","2","","246","110","0","77.460","100","38","0","14","6","0"
"https://www.lolaaviamentos.com.br/bordado1/rasgo-facil/","Indexable","","2","","261","110","0","77.460","125","43","0","14","6","0"
"https://www.lolaaviamentos.com.br/acessorios/","Indexable","","2","","238","110","0","77.460","93","39","0","14","6","0"
"https://www.lolaaviamentos.com.br/produtos/","Indexable","","2","","264","110","0","77.460","165","49","0","14","6","0"
