"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical","Indexability","Indexability Status"
"https://lolaaviamentos.com.br/","0","","","","https://www.lolaaviamentos.com.br/","","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/entretela-de-memoria/cinza/","0","","","","https://www.lolaaviamentos.com.br/entretela-de-memoria/cinza/","","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/","0","","","","https://www.lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/","","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/filme-plastico-magico-para-bordado-45g/","0","","","","https://www.lolaaviamentos.com.br/produtos/filme-plastico-magico-para-bordado-45g/","","Indexable",""
"https://lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-40g-90cm-200m/","0","","","","https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-40g-90cm-200m/","","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/fita-magica/","0","","","","https://www.lolaaviamentos.com.br/produtos/fita-magica/","","Indexable",""
"https://www.lolaaviamentos.com.br/empresa/","0","","","","https://www.lolaaviamentos.com.br/empresa/","","Indexable",""
"https://lolaaviamentos.com.br/insumos-para-bones/suede1/","0","","","","https://www.lolaaviamentos.com.br/insumos-para-bones/suede1/","","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/bordado1/toque-macio/","0","","","","https://www.lolaaviamentos.com.br/bordado1/toque-macio/","","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/acessorios/","0","","","","https://www.lolaaviamentos.com.br/acessorios/","","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/entretela-alfaiataria/termocolante1/","0","","","","https://www.lolaaviamentos.com.br/entretela-alfaiataria/termocolante1/","","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/tela-de-poliester-mesh-7dmsd/","0","","","","https://www.lolaaviamentos.com.br/produtos/tela-de-poliester-mesh-7dmsd/","","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-dupla-face-90cm-50m/","0","","","","https://www.lolaaviamentos.com.br/produtos/entretela-dupla-face-90cm-50m/","","Indexable",""
"https://www.lolaaviamentos.com.br/politica_privacidade/","0","","","","https://www.lolaaviamentos.com.br/politica_privacidade/","","Indexable",""
"https://lolaaviamentos.com.br/produtos/","0","","","","https://www.lolaaviamentos.com.br/produtos/","","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/produtos/kit-fita-dupla-face-19mm-x-30m-fd-01/","0","","","","https://www.lolaaviamentos.com.br/produtos/kit-fita-dupla-face-19mm-x-30m-fd-01/","","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/tecido-suede-160g/","0","","","","https://www.lolaaviamentos.com.br/produtos/tecido-suede-160g/","","Indexable",""
"https://lolaaviamentos.com.br/contato/","0","","","","https://www.lolaaviamentos.com.br/contato/","","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-toque-macio-40g-90cm-100m/","0","","","","https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-toque-macio-40g-90cm-100m/","","Indexable",""
"https://www.lolaaviamentos.com.br/entretela-de-memoria/","0","","","","https://www.lolaaviamentos.com.br/entretela-de-memoria/","","Indexable",""
"https://www.lolaaviamentos.com.br/bordado1/","0","","","","https://www.lolaaviamentos.com.br/bordado1/","","Indexable",""
"https://lolaaviamentos.com.br/entretela-de-memoria/branca/","0","","","","https://www.lolaaviamentos.com.br/entretela-de-memoria/branca/","","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/liquidacao/","0","","","","https://www.lolaaviamentos.com.br/liquidacao/","","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/entretela-alfaiataria/tnt-termocolante/","0","","","","https://www.lolaaviamentos.com.br/entretela-alfaiataria/tnt-termocolante/","","Non-Indexable","Canonicalised"
