"Type","From","To","Anchor Text","Alt Text","Follow","Target","Rel","Status Code","Status","Path Type","Link Path","Link Position","Link Origin","Size","Transferred"
"Image","https://lolaaviamentos.com.br/","https://acdn-us.mitiendanube.com/stores/001/720/481/themes/amazonas/1-slide-1783709329598-2992253561-d708e498b380efcebf75c99487ebad7b1783709332-50-0.jpg?7205137863153193245","","Carrossel 4","True","","","200","OK","Protocol-Relative","//body/div[@class='js-home-sections-container']/section[1]/div[2]/div/div/div/div/div[@class='swiper-wrapper']/div[4]/a/div/img","Content","HTML","10389","10389"
"Image","https://lolaaviamentos.com.br/","https://acdn-us.mitiendanube.com/stores/001/720/481/themes/amazonas/1-slide-1783709329598-6950546711-1ce81a992ac35150d59d34fdc603cc101783709332-50-0.jpg?7205137863153193245","","Carrossel 5","True","","","200","OK","Protocol-Relative","//body/div[@class='js-home-sections-container']/section[1]/div[2]/div/div/div/div/div[@class='swiper-wrapper']/div[5]/a/div/img","Content","HTML","10133","10133"
"Image","https://lolaaviamentos.com.br/","https://acdn-us.mitiendanube.com/stores/001/720/481/themes/amazonas/2-img-696429953-1755630158-98e6ef0cb853e9dd834af002b9c1c1681755630158-50-0.webp?7205137863153193245","","Entretelas para Bordado","True","","","200","OK","Protocol-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-banners-home'][1]/div/div/div[1]/div/a/div/img","Content","HTML","4672","4672"
"Image","https://lolaaviamentos.com.br/","https://acdn-us.mitiendanube.com/stores/001/720/481/themes/amazonas/2-img-1885761758-1755450160-6fab3d43aa6d4ab69d0ae788fa6e258d1755450160-50-0.webp?7205137863153193245","","Insumos para Bonés","True","","","200","OK","Protocol-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-banners-home'][1]/div/div/div[2]/div/a/div/img","Content","HTML","5172","5172"
"Image","https://lolaaviamentos.com.br/","https://acdn-us.mitiendanube.com/stores/001/720/481/themes/amazonas/2-img-316853914-1756140379-18a2f756c7b644f300d6fb652d5cbb571756140379-50-0.webp?7205137863153193245","","Entretelas para Alfaiataria ","True","","","200","OK","Protocol-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-banners-home'][1]/div/div/div[3]/div/a/div/img","Content","HTML","4488","4488"
"Image","https://lolaaviamentos.com.br/","https://acdn-us.mitiendanube.com/stores/001/720/481/themes/amazonas/img-1934853781-1627933308-585854e129e5d45dc818ec68e3aa9fdb1627933309.jpg?7205137863153193245","","Entretelas para Bordado","True","","","200","OK","Protocol-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-banners-home'][2]/div/div/div[1]/div/div[@class='textbanner-image']/img","Content","HTML","282517","282517"
"Image","https://lolaaviamentos.com.br/","https://acdn-us.mitiendanube.com/stores/001/720/481/themes/amazonas/img-260296815-1627933359-6e74acabddef03a0d1ee7927e3273e861627933360.jpg?7205137863153193245","","Insumos para Bonés","True","","","200","OK","Protocol-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-banners-home'][2]/div/div/div[2]/div/div[@class='textbanner-image']/img","Content","HTML","276297","276297"
"Image","https://lolaaviamentos.com.br/","https://acdn-us.mitiendanube.com/stores/001/720/481/themes/amazonas/img-391723470-1627933511-1e23742522559f43236d08b5f9e02aba1627933511.jpg?7205137863153193245","","Máquinas","True","","","200","OK","Protocol-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-banners-home'][2]/div/div/div[3]/div/div[@class='textbanner-image']/img","Content","HTML","286834","286834"
"Image","https://lolaaviamentos.com.br/","https://acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png","","Vídeo de ","True","","","200","OK","Protocol-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-video-home']/div/div/div[2]/div[1]/div/img","Content","HTML","81","81"
"Image","https://lolaaviamentos.com.br/","https://acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png","","visa","True","","","200","OK","Protocol-Relative","//body/footer/div[1]/div[3]/div/div/div[1]/div[@class='col-md-8']/img[1]","Footer","HTML","81","81"
"Image","https://lolaaviamentos.com.br/","https://acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png","","mastercard","True","","","200","OK","Protocol-Relative","//body/footer/div[1]/div[3]/div/div/div[1]/div[@class='col-md-8']/img[2]","Footer","HTML","81","81"
"Image","https://lolaaviamentos.com.br/","https://acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png","","amex","True","","","200","OK","Protocol-Relative","//body/footer/div[1]/div[3]/div/div/div[1]/div[@class='col-md-8']/img[3]","Footer","HTML","81","81"
"Image","https://lolaaviamentos.com.br/","https://acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png","","br_bradesco","True","","","200","OK","Protocol-Relative","//body/footer/div[1]/div[3]/div/div/div[1]/div[@class='col-md-8']/img[4]","Footer","HTML","81","81"
"Image","https://lolaaviamentos.com.br/","https://acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png","","br_elo","True","","","200","OK","Protocol-Relative","//body/footer/div[1]/div[3]/div/div/div[1]/div[@class='col-md-8']/img[5]","Footer","HTML","81","81"
"Image","https://lolaaviamentos.com.br/","https://acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png","","br_hipercard","True","","","200","OK","Protocol-Relative","//body/footer/div[1]/div[3]/div/div/div[1]/div[@class='col-md-8']/img[6]","Footer","HTML","81","81"
"Image","https://lolaaviamentos.com.br/","https://acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png","","payment-method-types_pix","True","","","200","OK","Protocol-Relative","//body/footer/div[1]/div[3]/div/div/div[1]/div[@class='col-md-8']/img[7]","Footer","HTML","81","81"
"Image","https://lolaaviamentos.com.br/","https://acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png","","api_823","True","","","200","OK","Protocol-Relative","//body/footer/div[1]/div[3]/div/div/div[2]/div[@class='col-md-8']/img[1]","Footer","HTML","81","81"
"Image","https://lolaaviamentos.com.br/","https://acdn-us.mitiendanube.com/assets/themes/amazonas/static/images/empty-placeholder.png","","api_4190","True","","","200","OK","Protocol-Relative","//body/footer/div[1]/div[3]/div/div/div[2]/div[@class='col-md-8']/img[2]","Footer","HTML","81","81"
