"Type","From","To","Anchor Text","Alt Text","Follow","Target","Rel","Status Code","Status","Path Type","Link Path","Link Position","Link Origin","Size","Transferred"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","","","True","","","200","OK","Path-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-featured-home'][1]/div/div/div[2]/div/div/div[5]/div/div/div/div[1]/div[10]/div[@class='item-buy']/div/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Comprar","","True","","","200","OK","Path-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-featured-home'][1]/div/div/div[2]/div/div/div[5]/div/div/div/div[3]/div[1]/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","","","True","","","200","OK","Path-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-featured-home'][1]/div/div/div[2]/div/div/div[7]/div/div/div/div[1]/div[10]/div[@class='item-buy']/div/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Comprar","","True","","","200","OK","Path-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-featured-home'][1]/div/div/div[2]/div/div/div[7]/div/div/div/div[3]/div[1]/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","","","True","","","200","OK","Path-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-featured-home'][1]/div/div/div[2]/div/div/div[8]/div/div/div/div[1]/div[10]/div[@class='item-buy']/div/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Comprar","","True","","","200","OK","Path-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-featured-home'][1]/div/div/div[2]/div/div/div[8]/div/div/div/div[3]/div[1]/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","","","True","","","200","OK","Path-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-featured-home'][2]/div/div/div[2]/div/div/div[2]/div/div/div/div[1]/div[10]/div[@class='item-buy']/div/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Comprar","","True","","","200","OK","Path-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-featured-home'][2]/div/div/div[2]/div/div/div[2]/div/div/div/div[3]/div[1]/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","","","True","","","200","OK","Path-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-featured-home'][2]/div/div/div[2]/div/div/div[3]/div/div/div/div[1]/div[10]/div[@class='item-buy']/div/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Comprar","","True","","","200","OK","Path-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-featured-home'][2]/div/div/div[2]/div/div/div[3]/div/div/div/div[3]/div[1]/a","Content","HTML","1103785","135671"
