"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://twitter.com/share?url=https://www.lolaaviamentos.com.br/produtos/filme-hidrossoluvel-para-bordado-40g-fh-10-15sed/","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","1","0.292","https://x.com/share?url=https://www.lolaaviamentos.com.br/produtos/filme-hidrossoluvel-para-bordado-40g-fh-10-15sed/","HTTP Redirect"
"https://www.lolaaviamentos.com.br/produtos/entretela-de-tecido-plano-termocolante-30g-lab-101-102/","text/html; charset=UTF-8","200","OK","Indexable","","44","0.097","",""
"https://www.lolaaviamentos.com.br/produtos/entretela-de-tecido-plano-termocolante-60g-lab-601-602/","text/html; charset=UTF-8","200","OK","Indexable","","41","0.701","",""
"https://www.lolaaviamentos.com.br/produtos/vies-tecido-fosco-55mm-carneira-18ql1/","text/html; charset=UTF-8","200","OK","Indexable","","39","0.581","",""
"https://www.lolaaviamentos.com.br/produtos/entretela-de-malha-termocolante-45g-lab-701-702/","text/html; charset=UTF-8","200","OK","Indexable","","59","0.578","",""
"https://www.lolaaviamentos.com.br/produtos/entretela-de-malha-termocolante-60g-lab-503-504/","text/html; charset=UTF-8","200","OK","Indexable","","70","0.655","",""
"https://www.lolaaviamentos.com.br/produtos/entretela-de-malha-termocolante-40g-150m-x-100m1/","text/html; charset=UTF-8","200","OK","Indexable","","59","0.603","",""
"https://www.lolaaviamentos.com.br/produtos/entretela-de-malha-termocolante-60g-160m-x-100m1/","text/html; charset=UTF-8","200","OK","Indexable","","59","0.569","",""
"https://www.lolaaviamentos.com.br/produtos/entretela-de-malha-termocolante-40g-lab-201-202/","text/html; charset=UTF-8","200","OK","Indexable","","63","0.580","",""
"https://www.lolaaviamentos.com.br/produtos/entretela-de-malha-termocolante-80g-lab-901-902/","text/html; charset=UTF-8","200","OK","Indexable","","59","0.604","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/categories/banner_site_lola_filme_1580x2201-c2dd96fd6434abeb7816275786673355-240-0.jpg","image/jpeg","200","OK","Indexable","","0","0.133","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lab-preta-15m-rolo-1-6b31408bb7abef6e4017550940307200-1024-1024.webp","image/webp","200","OK","Indexable","","1","0.113","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lab-preto-e-branco-rolo-c0571e7b2a7fd74f9817550940307248-1024-1024.webp","image/webp","200","OK","Indexable","","1","0.116","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lab-preto-e-branco-rolo-c0571e7b2a7fd74f9817550940307248-50-0.webp","image/webp","200","OK","Indexable","","0","0.129","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lab-off-white-30-cm-1000-x-1000px-1-c5f487ba2aab077a7717579462874145-50-0.webp","image/webp","200","OK","Indexable","","0","0.116","",""
"https://www.facebook.com/sharer/sharer.php?u=https://www.lolaaviamentos.com.br/produtos/entretela-de-tnt-micro-ponto-termocolante-70g-lab-407-408/","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://www.lolaaviamentos.com.br/produtos/aba-plastica-para-bone-curva-20kg-ab-230/","text/html; charset=UTF-8","200","OK","Indexable","","60","0.973","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lab-branco-15m-rolo-20f076366d473a660e17550940306256-50-0.webp","image/webp","200","OK","Indexable","","0","0.130","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lab-branco-15m-rolo-20f076366d473a660e17550940306256-1024-1024.webp","image/webp","200","OK","Indexable","","1","0.127","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lab-preto-30-cm-1000-x-1000px-1-42cc6925a0b12456c317579462871237-1024-1024.webp","image/webp","200","OK","Indexable","","1","0.126","",""
"http://pinterest.com/pin/create/button/?url=https%3A%2F%2Fwww.lolaaviamentos.com.br%2Fprodutos%2Fentretela-de-tnt-micro-ponto-termocolante-70g-lab-407-408%2F&media=https%3A%2F%2Facdn-us.mitiendanube.com%2Fstores%2F001%2F720%2F481%2Fproducts%2Flab-preto-e-branco-rolo-c0571e7b2a7fd74f9817550940307248-480-0.webp&description=","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://www.lolaaviamentos.com.br/produtos/aba-plastica-para-bone-curva-196kg-ab-50/","text/html; charset=UTF-8","200","OK","Indexable","","50","0.878","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lab-off-white-30-cm-1000-x-1000px-1-c5f487ba2aab077a7717579462874145-1024-1024.webp","image/webp","200","OK","Indexable","","1","0.139","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lab-preto-30-cm-1000-x-1000px-1-42cc6925a0b12456c317579462871237-50-0.webp","image/webp","200","OK","Indexable","","0","0.136","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lab-preta-15m-rolo-1-6b31408bb7abef6e4017550940307200-50-0.webp","image/webp","200","OK","Indexable","","0","0.128","",""
"https://twitter.com/share?url=https://www.lolaaviamentos.com.br/produtos/entretela-de-tnt-micro-ponto-termocolante-70g-lab-407-408/","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","1","0.304","https://x.com/share?url=https://www.lolaaviamentos.com.br/produtos/entretela-de-tnt-micro-ponto-termocolante-70g-lab-407-408/","HTTP Redirect"
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lab-branco-15m-rolo-761ae2bf3c1bd9b77417550943725967-50-0.webp","image/webp","200","OK","Indexable","","0","0.145","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/categories/banner_site_lola_insumos_1580x220-2330ab4867473ad66f16275786098118-240-0.jpg","image/jpeg","200","OK","Indexable","","0","0.154","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lab-preto-30-cm-1000-x-1000px-1-5ead7843afe8d924b017579464796530-1024-1024.webp","image/webp","200","OK","Indexable","","1","0.164","",""
"https://www.facebook.com/sharer/sharer.php?u=https://www.lolaaviamentos.com.br/produtos/entretela-de-tnt-micro-ponto-termocolante-60g-lab-409-410/","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://www.facebook.com/sharer/sharer.php?u=https://www.lolaaviamentos.com.br/produtos/entretelas-tecido-de-algodao-termocolante-etp-15m-x-100m/","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","2","","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/lab-off-white-30-cm-1000-x-1000px-1-9b3965079e6817575217579464797208-1024-1024.webp","image/webp","200","OK","Indexable","","1","0.156","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/etp-01-ded245459e1df7345c17564917484542-50-0.webp","image/webp","200","OK","Indexable","","0","0.160","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/etp-02-a16df010f779c96e4617564917490396-1024-1024.webp","image/webp","200","OK","Indexable","","2","0.154","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/etp-03-48ecbda6d223cf0b8a17564917487314-50-0.webp","image/webp","200","OK","Indexable","","0","0.123","",""
"https://twitter.com/share?url=https://www.lolaaviamentos.com.br/produtos/entretela-de-tnt-micro-ponto-termocolante-60g-lab-409-410/","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","1","0.299","https://x.com/share?url=https://www.lolaaviamentos.com.br/produtos/entretela-de-tnt-micro-ponto-termocolante-60g-lab-409-410/","HTTP Redirect"
"https://www.lolaaviamentos.com.br/produtos/maquina-de-pregar-botao-automatica-bp-1000/","text/html; charset=UTF-8","200","OK","Indexable","","61","0.081","",""
"https://www.lolaaviamentos.com.br/produtos/botao-de-forrar-encapar-para-bone-15mm-1-000un-1rtwf/","text/html; charset=UTF-8","200","OK","Indexable","","41","0.627","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/categories/banner_site_lola_maquinas_1580x220-7941ba742ba4268db016275785945985-240-0.jpg","image/jpeg","200","OK","Indexable","","0","0.142","",""
"https://www.lolaaviamentos.com.br/produtos/maquina-de-dublagem-de-bones-por-moldes-hpw-2/","text/html; charset=UTF-8","200","OK","Indexable","","55","0.532","",""
"https://www.lolaaviamentos.com.br/produtos/maquina-manual-de-coformar-bones/","text/html; charset=UTF-8","200","OK","Indexable","","58","0.566","",""
"https://www.lolaaviamentos.com.br/produtos/maquina-de-conformar-bones/","text/html; charset=UTF-8","200","OK","Indexable","","55","0.516","",""
"https://www.lolaaviamentos.com.br/produtos/maquina-transfer-mt-1500/","text/html; charset=UTF-8","200","OK","Indexable","","58","0.651","",""
"https://www.lolaaviamentos.com.br/produtos/base-maquina-transfer-mt-1500/","text/html; charset=UTF-8","200","OK","Indexable","","52","0.669","",""
"https://www.lolaaviamentos.com.br/produtos/maquina-de-encapar-botao-semi/","text/html; charset=UTF-8","200","OK","Indexable","","54","0.706","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/regulador-vinho-1000x-x-1000px-reg-26-903416723eb2dfc7a917545135321084-1024-1024.webp","image/webp","200","OK","Indexable","","1","0.141","",""
"https://www.lolaaviamentos.com.br/produtos/maquina-de-passadoria/","text/html; charset=UTF-8","200","OK","Indexable","","52","0.560","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/regulador-vinho-1000x-x-1000px-reg-26-903416723eb2dfc7a917545135321084-50-0.webp","image/webp","200","OK","Indexable","","0","0.195","",""
"https://www.lolaaviamentos.com.br/produtos/maquina-de-costura-na-aba-reta-automatica-filigrana-mca-2500/","text/html; charset=UTF-8","200","OK","Indexable","","55","0.495","",""
"http://pinterest.com/pin/create/button/?url=https%3A%2F%2Fwww.lolaaviamentos.com.br%2Fprodutos%2Fregulador-plastico-para-bone-1000-un%2F&media=https%3A%2F%2Facdn-us.mitiendanube.com%2Fstores%2F001%2F720%2F481%2Fproducts%2Freg-visao-de-cima-misturado-1000x1000px-5a5677a6244ffaf07d17545138287246-480-0.webp&description=","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/regulador-vermelho-1000x-x-1000px-reg-04-16fc16190c8d1ee13a17545135320278-1024-1024.webp","image/webp","200","OK","Indexable","","1","0.139","",""
"https://acdn-us.mitiendanube.com/stores/001/720/481/products/regulador-caqui-1000x-x-1000px-reg-19-84d9907547b54b23e717545135319521-1024-1024.webp","image/webp","200","OK","Indexable","","1","0.148","",""
