"Address","Status Code","Status","HTML Word Count","Rendered HTML Word Count","Word Count Change","JS Word Count %","HTML Title","Rendered HTML Title","HTML H1","Rendered HTML H1","HTML Meta Description","Rendered HTML Meta Description","HTML Canonical","Rendered HTML Canonical","Unique Inlinks","Unique JS Inlinks","Unique Outlinks","Unique JS Outlinks","Unique External Outlinks","Unique External JS Outlinks","HTML Meta Robots 1","Rendered HTML Meta Robots 1","Pretty URL","Ugly URL","JS Error","JS Warning","JS Info","JS Debug","JS Issue"
"https://lolaaviamentos.com.br/","200","OK","836","0","","","Lola Aviamentos - Entretelas para confecções e insumos para Bonés","","Lola Aviamentos - Entretelas para confecções e insumos para Bonés","","Aqui você vai encontrar uma ampla gama de acessórios e entretelas para bordado, termocolantes para patchwork, apliques e insumos para bonés.","","https://www.lolaaviamentos.com.br/","","32","0","58","0","6","0","","","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","","","","",""
"https://lolaaviamentos.com.br/entretela-de-memoria/cinza/","200","OK","519","0","","","Cinza","","Cinza","","Compre online Cinza por R$260,90. Temos entretela cavalinho de memória termocolante cinza 330g, entretela cavalinho de memória termocolante cinza 285g e mais. Faça seu pedido e pag...","","https://www.lolaaviamentos.com.br/entretela-de-memoria/cinza/","","33","0","39","0","6","0","","","https://lolaaviamentos.com.br/entretela-de-memoria/cinza/","https://lolaaviamentos.com.br/entretela-de-memoria/cinza/","","","","",""
"https://lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/","200","OK","518","0","","","Regulador Plástico","","Regulador Plástico","","Compre online Regulador Plástico por R$189,90. Temos Regulador Plástico Proflex para Boné 1.000 und. e mais. Faça seu pedido e pague-o online.","","https://www.lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/","","33","0","38","0","6","0","","","https://lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/","https://lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/","","","","",""
"https://www.lolaaviamentos.com.br/produtos/filme-plastico-magico-para-bordado-45g/","200","OK","848","0","","","Filme Plástico Mágico para Bordado 45g - Flexível e Sem Formaldeíd","","Filme Plástico Mágico para Bordado 45g","","Filme plástico para bordado 45g, flexível e sem formaldeído, facilita o processo e reduz custos. Ideal para bordados infantis. Compre agora e agilize seu trabalho!","","https://www.lolaaviamentos.com.br/produtos/filme-plastico-magico-para-bordado-45g/","","12","0","38","0","13","0","","","https://www.lolaaviamentos.com.br/produtos/filme-plastico-magico-para-bordado-45g/","https://www.lolaaviamentos.com.br/produtos/filme-plastico-magico-para-bordado-45g/","","","","",""
"https://lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-40g-90cm-200m/","200","OK","1011","0","","","Entretela Não Tecido para Bordado Rasgável","","Entretela Não Tecido para Bordado Rasgável 40g Lec-40","","A entretela rasgável (ou de rasgo fácil) pode ser removida facilmente apenas puxando-a da peça, isso torna a limpeza mais rápida e prática.","","https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-40g-90cm-200m/","","3","0","45","0","16","0","","","https://lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-40g-90cm-200m/","https://lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-40g-90cm-200m/","","","","",""
"https://www.lolaaviamentos.com.br/produtos/fita-magica/","200","OK","1112","0","","","Fita Mágica Termocolante Dupla Face 0,2cm x 50m para Bainha","","Fita Mágica Instantanea Dupla Face Termocolante (Bainha Mágica) 2.0cm x 50m","","Fita termocolante dupla face para bainha rápida e prática. Ajuste barras sem costura com acabamento perfeito. Compre já!","","https://www.lolaaviamentos.com.br/produtos/fita-magica/","","3","0","44","0","11","0","","","https://www.lolaaviamentos.com.br/produtos/fita-magica/","https://www.lolaaviamentos.com.br/produtos/fita-magica/","","","","",""
"https://www.lolaaviamentos.com.br/empresa/","200","OK","614","0","","","A Lola","","A Lola","","A Lola Aviamentos está localizada em Apucarana - PR e é uma empresa focada na importação e distribuição de insumos, maquinários, e soluções para o ramo de co...","","https://www.lolaaviamentos.com.br/empresa/","","142","0","35","0","6","0","","","https://www.lolaaviamentos.com.br/empresa/","https://www.lolaaviamentos.com.br/empresa/","","","","",""
"https://lolaaviamentos.com.br/insumos-para-bones/suede1/","200","OK","495","0","","","Tecidos","","Tecidos","","Compre online Tecidos por R$247,50. Temos Tecido Suede 160g e mais. Faça seu pedido e pague-o online.","","https://www.lolaaviamentos.com.br/insumos-para-bones/suede1/","","33","0","38","0","6","0","","","https://lolaaviamentos.com.br/insumos-para-bones/suede1/","https://lolaaviamentos.com.br/insumos-para-bones/suede1/","","","","",""
"https://lolaaviamentos.com.br/bordado1/toque-macio/","200","OK","799","0","","","Entretelas de Toque Macio","","Toque Macio","","As entretelas não tecido de toque macio e rasgo orientado são compostas de poliéster e tem foco na área de vestuário feminino e infantil.","","https://www.lolaaviamentos.com.br/bordado1/toque-macio/","","33","0","49","0","6","0","","","https://lolaaviamentos.com.br/bordado1/toque-macio/","https://lolaaviamentos.com.br/bordado1/toque-macio/","","","","",""
"https://lolaaviamentos.com.br/acessorios/","200","OK","514","0","","","Acessórios","","Acessórios","","Compre online Acessórios por R$99,90. Temos cortador de amostras para gramatura, medidor de circunferência para bonés e mais. Faça seu pedido e pague-o online.","","https://www.lolaaviamentos.com.br/acessorios/","","33","0","40","0","6","0","","","https://lolaaviamentos.com.br/acessorios/","https://lolaaviamentos.com.br/acessorios/","","","","",""
