"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://lolaaviamentos.com.br/produtos/entretelas-tecido-de-algodao-termocolante-etp-15m-x-100m/","3","Total: R$0,00","13","R$112,90","8","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/https-www-lolaaviamentos-com-br-acessorios/","3","Total: R$0,00","13","R$2.200,00","10","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/botao-de-forrar-encapar-para-bone-15mm-1000un/","3","Total: R$0,00","13","R$54,90","7","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-hidrossoluvel-para-bordado-60g-52cm-25m/","3","Total: R$0,00","13","R$3.448,85","10","Indexable",""
"https://lolaaviamentos.com.br/entretela-de-memoria/","1","Total: R$0,00","13","","0","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/entretela-de-memoria/cinza/","1","Total: R$0,00","13","","0","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-cavalinho-de-memoria-termocolante-cinza-285g-16-100m/","3","Total: R$0,00","13","R$2.599,90","10","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-cavalinho-de-memoria-termocolante-cinza-330g/","3","Total: R$0,00","13","R$2.881,90","10","Indexable",""
"https://www.lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/","1","Total: R$0,00","13","","0","Indexable",""
"https://www.lolaaviamentos.com.br/bordado1/filmes/","1","Total: R$0,00","13","","0","Indexable",""
"https://www.lolaaviamentos.com.br/bordado1/hidrossoluvel/","1","Total: R$0,00","13","","0","Indexable",""
"https://www.lolaaviamentos.com.br/bordado1/toque-macio/","1","Total: R$0,00","13","","0","Indexable",""
"https://www.lolaaviamentos.com.br/entretela-alfaiataria/tecido-plano/","1","Total: R$0,00","13","","0","Indexable",""
"https://www.lolaaviamentos.com.br/bordado1/termocolante/","1","Total: R$0,00","13","","0","Indexable",""
"https://www.lolaaviamentos.com.br/maquinas-acessorios/","1","Total: R$0,00","13","","0","Indexable",""
"https://www.lolaaviamentos.com.br/insumos-para-bones/tela/","1","Total: R$0,00","13","","0","Indexable",""
"https://www.lolaaviamentos.com.br/bordado1/rasgo-facil/","1","Total: R$0,00","13","","0","Indexable",""
"https://www.lolaaviamentos.com.br/acessorios/","1","Total: R$0,00","13","","0","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/","1","Total: R$0,00","13","","0","Indexable",""
"https://www.lolaaviamentos.com.br/entretela-de-memoria/branca/","1","Total: R$0,00","13","","0","Indexable",""
"https://www.lolaaviamentos.com.br/entretela-alfaiataria/entretelas-de-malha/","1","Total: R$0,00","13","","0","Indexable",""
"https://www.lolaaviamentos.com.br/entretela-alfaiataria/tnt-termocolante/","1","Total: R$0,00","13","","0","Indexable",""
"https://www.lolaaviamentos.com.br/contato/","1","Total: R$0,00","13","","0","Indexable",""
"https://www.lolaaviamentos.com.br/liquidacao/","1","Total: R$0,00","13","","0","Indexable",""
"https://www.lolaaviamentos.com.br/entretela-de-memoria/preta/","1","Total: R$0,00","13","","0","Indexable",""
"https://www.lolaaviamentos.com.br/insumos-para-bones/suede1/","1","Total: R$0,00","13","","0","Indexable",""
"https://www.lolaaviamentos.com.br/entretela-alfaiataria/termocolante1/","1","Total: R$0,00","13","","0","Indexable",""
"https://www.lolaaviamentos.com.br/entretela-alfaiataria/algodao/","1","Total: R$0,00","13","","0","Indexable",""
"https://www.lolaaviamentos.com.br/insumos-para-bones/aba-plastica/","1","Total: R$0,00","13","","0","Indexable",""
"https://www.lolaaviamentos.com.br/insumos-para-bones/vies1/","1","Total: R$0,00","13","","0","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/filme-papel-termocolante-definitivo-para-patchwork-48cm-5m/","3","Total: R$0,00","13","R$482,90","8","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-40g-90cm-200m/","3","Total: R$0,00","13","R$175,00","8","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-90g-90cm-200m/","3","Total: R$0,00","13","R$499,90","8","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-30g-90cm-200m/","3","Total: R$0,00","13","R$265,90","8","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-nao-tecido-para-bordado-toque-macio-rasgavel-60g-lef-60/","3","Total: R$0,00","13","R$439,90","8","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-50g-90cm-200m/","3","Total: R$0,00","13","R$329,90","8","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-preta-rasgavel-40g-90cm-200m/","3","Total: R$0,00","13","R$265,90","8","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-toque-macio-rasgavel-40g-90cmx-200m/","3","Total: R$0,00","13","R$294,90","8","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-nao-tecido-para-bordado-rasgavel-70g-lec-70/","3","Total: R$0,00","13","R$425,90","8","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-termocolante-de-toque-macio-30g-90cm-100m/","3","Total: R$0,00","13","R$145,90","8","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-toque-macio-30g-90cm-100m/","3","Total: R$0,00","13","R$39,90","7","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-termocolante-de-toque-macio-20g-90cm-100m/","3","Total: R$0,00","13","R$110,90","8","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-termocolante-de-toque-macio-40g-90cm-100m/","3","Total: R$0,00","13","R$175,90","8","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-nao-tecido-para-bordado-toque-macio-50g-lepo-50/","3","Total: R$0,00","13","R$66,90","7","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-termocolante-de-toque-macio-60g-90cm-100m/","3","Total: R$0,00","13","R$271,90","8","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-termocolante-de-toque-macio-50g-90cm-x-100m/","3","Total: R$0,00","13","R$211,90","8","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-toque-macio-20g-90cm-100m/","3","Total: R$0,00","13","R$32,90","7","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-nao-tecido-para-bordado-toque-macio-60g-lepo-60/","3","Total: R$0,00","13","R$195,90","8","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/case-para-bones/","3","Total: R$0,00","13","R$99,90","7","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/medidor-de-circunferencia-para-bones/","3","Total: R$0,00","13","R$615,90","8","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/cortador-amostras/","3","Total: R$0,00","13","R$385,90","8","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/tela-de-poliester-ltn-130g-155-x-100m1/","3","Total: R$0,00","13","R$599,00","8","Indexable",""
