"Keyword report (May 25, 2026 - June 23, 2026)"
Request Id: 38b3bccd-eca3-c80b-da9f-255ef465e40a

Status,Keyword,Campaign,Ad group,Match type,Bid Strategy Name,Bid Strategy Type,Delivery,Bid,Labels,Clicks,Impr.,CTR,Avg. CPC,Spend,Top impr. rate,Abs. top impr. rate
Enabled,hotel cleaning NYC,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 5 - Hotel Cleaning,Phrase,,InheritFromParent,Eligible,auto,,1,377,0.27%,1.04,1.04,1.9%,1.9%
Enabled,hotel housekeeping services,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 5 - Hotel Cleaning,Phrase,,InheritFromParent,Eligible,auto,,17,2086,0.81%,1.58,26.94,0.19%,0.14%
Enabled,hotel deep cleaning NJ,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 5 - Hotel Cleaning,Phrase,,InheritFromParent,Eligible,auto,,1,44,2.27%,1.72,1.72,0%,0%
Enabled,deep cleaning restaurant,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.055,,0,0,0%,0,0,0%,0%
Enabled,deep cleaning restaurant kitchen,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.0587,,0,0,0%,0,0,0%,0%
Enabled,restaurant steam cleaning services,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.055,,0,0,0%,0,0,0%,0%
Enabled,commercial cleaning restaurant,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.0564,,0,0,0%,0,0,0%,0%
Enabled,restaurant cleaning service,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.0647,,0,0,0%,0,0,0%,0%
Enabled,restaurant cleaning commercial,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.0552,,0,0,0%,0,0,0%,0%
Enabled,restaurant commercial cleaning services,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.0595,,0,0,0%,0,0,0%,0%
Enabled,professional restaurant cleaning services,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.0554,,0,0,0%,0,0,0%,0%
Enabled,professional restaurant cleaning service,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.055,,0,0,0%,0,0,0%,0%
Enabled,fast commercial cleaning service quote,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.055,,0,0,0%,0,0,0%,0%
Enabled,cleaning services restaurant,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.055,,0,0,0%,0,0,0%,0%
Enabled,commercial cleaning services restaurants,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.0585,,0,0,0%,0,0,0%,0%
Enabled,restaurant deep cleaning services,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.0586,,0,0,0%,0,0,0%,0%
Enabled,specialist commercial cleaning,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.057,,0,0,0%,0,0,0%,0%
Enabled,commercial cleaning service for office,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.0605,,0,0,0%,0,0,0%,0%
Enabled,restaurant cleaning services near me,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.0568,,0,0,0%,0,0,0%,0%
Enabled,commercial kitchen deep cleaning services,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.0587,,0,0,0%,0,0,0%,0%
Enabled,commercial kitchen deep cleaning,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.0556,,0,0,0%,0,0,0%,0%
Enabled,affordable commercial cleaning services near me,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.0664,,0,0,0%,0,0,0%,0%
Enabled,commercial office cleaning companies near me,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.064,,0,0,0%,0,0,0%,0%
Enabled,services hospitality cleaning,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.055,,0,0,0%,0,0,0%,0%
Enabled,commercial kitchen cleaning near me,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.055,,0,0,0%,0,0,0%,0%
Enabled,hospitality cleaning services,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.0553,,0,0,0%,0,0,0%,0%
Enabled,urgent commercial cleaning service quote help,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.055,,0,0,0%,0,0,0%,0%
Enabled,restaurant cleaning services nearby,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.055,,0,0,0%,0,0,0%,0%
Enabled,commercial cleaning companies,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.0751,,0,0,0%,0,0,0%,0%
Enabled,commercial cleaning service providers,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.055,,0,0,0%,0,0,0%,0%
Enabled,commercial cleaning service packages,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.055,,0,0,0%,0,0,0%,0%
Enabled,cleaning hotel rooms,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 5 - Hotel Cleaning,Phrase,,InheritFromParent,Eligible,auto,,0,15,0%,0,0,46.15%,38.46%
Enabled,hotel cleaning service,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 5 - Hotel Cleaning,Phrase,,InheritFromParent,Eligible,auto,,0,373,0%,0,0,3%,2.18%
Enabled,cleaning a hotel,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 5 - Hotel Cleaning,Phrase,,InheritFromParent,Eligible,auto,,0,29,0%,0,0,17.24%,17.24%
Enabled,commercial cleaning services,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Phrase,,InheritFromParent,Eligible,auto,,69,11965,0.58%,1.66,114.26,1.13%,0.91%
Enabled,commercial cleaning services NJ,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Phrase,,InheritFromParent,Eligible,auto,,0,45,0%,0,0,9.52%,9.52%
Enabled,commercial cleaning services NYC,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Phrase,,InheritFromParent,Eligible,auto,,3,319,0.94%,1.13,3.4,4.93%,4.61%
Enabled,commercial cleaning services near me,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Phrase,,InheritFromParent,Eligible,auto,,3,716,0.42%,3.24,9.73,2.72%,1.72%
Enabled,commercial cleaning company,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Phrase,,InheritFromParent,Eligible,auto,,55,9267,0.59%,1.41,77.49,1.05%,0.89%
Enabled,commercial cleaning near me,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Phrase,,InheritFromParent,Eligible,auto,,8,746,1.07%,1.65,13.22,2.04%,1.77%
Enabled,commercial cleaning NJ,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Phrase,,InheritFromParent,Eligible,auto,,0,16,0%,0,0,35.71%,21.43%
Enabled,janitorial services NJ,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Phrase,,InheritFromParent,Eligible,auto,,3,1330,0.23%,3.11,9.34,2.06%,1.68%
Enabled,janitorial services NYC,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Phrase,,InheritFromParent,Eligible,auto,,3,1748,0.17%,2.61,7.84,2.21%,1.75%
Enabled,cleaning commercial companies,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Phrase,,InheritFromParent,Eligible,auto,,27,4440,0.61%,2.63,70.99,4.08%,3.76%
Enabled,cleaning companies commercial,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Phrase,,InheritFromParent,Eligible,auto,,11,3162,0.35%,3.4,37.45,1.73%,1.54%
Enabled,commercial business cleaning services,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Phrase,,InheritFromParent,Eligible,auto,,7,1255,0.56%,2.34,16.37,6.32%,5.57%
Enabled,commercial cleaning services prices,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Phrase,,InheritFromParent,Eligible,auto,,3,178,1.69%,0.7,2.1,10.49%,9.88%
Enabled,commercial cleaning services list,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Phrase,,InheritFromParent,Eligible,auto,,0,499,0%,0,0,1.83%,1.42%
Enabled,commercial cleaning janitorial services,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Phrase,,InheritFromParent,Eligible,auto,,7,598,1.17%,3.83,26.79,9.24%,8.53%
Enabled,nyc janitorial services,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Phrase,,InheritFromParent,Low search volume,auto,,4,215,1.86%,5.57,22.26,18.52%,13.76%
Enabled,commercial cleaning local,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Phrase,,InheritFromParent,Eligible,auto,,6,901,0.67%,2.32,13.91,3.4%,2.83%
Enabled,post construction cleaning nj,[V4] [BING] [AQ] Premium-Q1-2026,Post-Construction Cleaning,Exact,,InheritFromParent,Eligible,0.05,,0,0,0%,0,0,0%,0%
Enabled,commercial construction cleanup,[V4] [BING] [AQ] Premium-Q1-2026,Post-Construction Cleaning,Phrase,,InheritFromParent,Eligible,4.51,,0,0,0%,0,0,0%,0%
Enabled,rough and final cleaning nyc,[V4] [BING] [AQ] Premium-Q1-2026,Post-Construction Cleaning,Exact,,InheritFromParent,Eligible,0.05,,0,0,0%,0,0,0%,0%
