source,target,regex
^blog/fundicao-de-ferro/empresa-de-ferro-fundido/?$,/empresa-de-fundicao-de-ferro-fundido/,1
^blog/pecas-para-tratores/pecas-para-tratores-agricolas/?$,/pecas-para-tratores-agricolas/,1
^blog/vanderlei-rampasso/?$,/blog/,1
^blog/fundicao-de-ferro/fundicao-e-usinagem/?$,/fundicao-de-ferro-cinzento-e-nodular/,1
^blog/abracadeiras/abracadeira-para-concreto/?$,/abracadeira-para-concreto/,1
^blog/fundicao-de-ferro/empresa-de-fundicao-de-ferro-fundido/?$,/empresa-de-fundicao-de-ferro-fundido/,1
^blog/bombeamento-de-concreto/fabricante-de-pecas-para-maquinas-e-equipamentos/?$,/fabricante-de-pecas-para-maquinas-e-equipamentos/,1
^blog/aneis-de-segmento/aneis-de-segmento-para-amortecedores-em-bronze/?$,/aneis-de-segmento-para-amortecedores-em-bronze/,1
^blog/fundicao-de-ferro/preco-ferro-fundido/?$,/fundicao-de-ferro-fundido/,1
^blog/pecas-automotivas/fabricante-de-pecas-automotivas/?$,/fabricante-de-pecas-automotivas/,1
