Advanced bid adjustment report
"June 1, 2026 - June 16, 2026"
Interaction type,Campaign,Bid adj.,Currency code,Avg. CPM,Impr.,Interaction rate,Avg. cost,Cost,Inter. coverage,Conv. rate,Conversions,Cost / conv.
Calls,V4 - SEARCH - SERVICES, --,USD,126.09,318,0.31%,40.10,40.10,58.67%,0.00%,0.00,0.00
Total: Interactions,,,USD,126.09,318,0.31%,40.10,40.10,58.67%,0.00%,0.00,0.00
Total: Account,,,USD,270.27,"10,010",6.65%,4.06,2705.40,81.36%,5.26%,35.00,77.30
Total: Display,,,USD,0,0, --,0,0.00, --,0.00%,0.00,0.00
Total: Performance Max,,,USD,231.77,"4,360",5.48%,4.23,1010.50, --,2.51%,6.00,168.42
Total: Search,,,USD,494.35,"1,100",3.82%,12.95,543.79,63.29%,7.14%,3.00,181.26
Total: Video,,,USD,0,0, --,0,0.00, --,0.00%,0.00,0.00
