Campaign report
"June 1, 2026 - June 30, 2026"
Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Campaign type,Optimization score,Impr.,Clicks,CTR,Avg. CPC,Conversions,Cost / conv.,Cost,Phone calls,Results,Phone impr.,Conv. rate,All conv. rate,Bid strategy type,Conv. value,All conv.,Search impr. share,Search top IS,Search abs. top IS,Search lost IS (rank),Search lost top IS (budget),Search lost IS (budget),Click share,Search exact match IS,Search lost abs. top IS (rank),Search lost abs. top IS (budget),Search lost top IS (rank)
Enabled,[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,59.00, --,Daily,USD,Eligible (Limited),limited by budget,Performance Max,99.20,"6,357",235,3.70%,7.75,13.00,140.07,1820.60,19,Phone call lead: 9.00; Submit lead form: 4.00,"3,855",3.41%,3.41%,Maximize Conversions (Target CPA),0.00,13.00,29.56%, --, --,57.31%, --,13.13%,15.47%,30.26%, --, --, --
Enabled,V4 - SEARCH - SERVICES,27.00, --,Daily,USD,Eligible,,Search,97.39,"1,346",62,4.61%,11.18,5.00,138.60,692.99,5,Phone call lead: 2.00; Submit lead form: 3.00,"1,346",8.06%,8.06%,Maximize Conversions,0.00,5.00,21.91%,13.82%,< 10%,47.10%,31.05%,30.98%,10.04%,24.33%,62.55%,31.05%,55.13%
Total: Campaigns, --, --, --, --,USD, --,, --, --,"7,703",297,3.86%,8.46,18.00,139.66,2513.60,24,Phone call lead: 11.00; Submit lead form: 7.00,"5,201",4.06%,4.06%, --,0.00,18.00,27.55%,13.82%, --,54.62%,31.05%,17.83%,13.73%,29.88%, --, --,55.13%
Total: Account,,,,,USD,,,,,"18,142","1,239",6.83%,4.46,88.00,62.85,5530.75,24,Phone call lead: 11.00; Submit lead form: 7.00,"5,526",6.35%,6.35%,,69.00,88.00,27.55%,14.67%,,53.55%,31.83%,18.90%,13.97%,29.96%,,,53.50%
Total: Search,,,,,USD,,,Search,,"1,671",79,4.73%,12.15,5.00,191.90,959.49,5,Phone call lead: 2.00; Submit lead form: 3.00,"1,671",6.33%,6.33%,,0.00,5.00,23.13%,14.67%,,45.28%,31.83%,31.58%,11.35%,26.80%,,,53.50%
Total: Video,,,,,USD,,,Video,,0,0, --,0,0.00,0.00,0.00,0,0,0,0.00%, --,,0.00,0.00, --, --,, --, --, --, --, --,,, --
Total: Performance Max,,,,,USD,,,Performance Max,,"6,357",235,3.70%,7.75,13.00,140.07,1820.60,19,Phone call lead: 9.00; Submit lead form: 4.00,"3,855",3.41%,3.41%,,0.00,13.00,29.56%, --,,57.31%, --,13.13%,15.47%,30.26%,,, --
Total: Display,,,,,USD,,,Display,,0,0, --,0,0.00,0.00,0.00,0,0,0,0.00%, --,,0.00,0.00, --, --,, --, --, --, --, --,,, --
