"Address","Indexability","Indexability Status","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1"
"https://preview.indianapolis.com.br/pecas-para-tratores/","Indexable","","","","","","https://preview.indianapolis.com.br/pecas-para-tratores/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://preview.indianapolis.com.br/produto/abracadeira-rapida/","Indexable","","","","","","https://preview.indianapolis.com.br/produto/abracadeira-rapida/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://preview.indianapolis.com.br/produto/tirante-para-elevador/","Indexable","","","","","","https://preview.indianapolis.com.br/produto/tirante-para-elevador/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://preview.indianapolis.com.br/produto/rolo-de-apoio/","Indexable","","","","","","https://preview.indianapolis.com.br/produto/rolo-de-apoio/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://preview.indianapolis.com.br/produto/abracadeira-fixa/","Indexable","","","","","","https://preview.indianapolis.com.br/produto/abracadeira-fixa/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://preview.indianapolis.com.br/produto/placa-de-ancoragem/","Indexable","","","","","","https://preview.indianapolis.com.br/produto/placa-de-ancoragem/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://preview.indianapolis.com.br/produto/pecas-bomba-concreto/","Indexable","","","","","","https://preview.indianapolis.com.br/produto/pecas-bomba-concreto/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://preview.indianapolis.com.br/produto/rolo-de-apoio-para-betoneira/","Indexable","","","","","","https://preview.indianapolis.com.br/produto/rolo-de-apoio-para-betoneira/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://preview.indianapolis.com.br/produto/rolo-apoio-betoneira/","Indexable","","","","","","https://preview.indianapolis.com.br/produto/rolo-apoio-betoneira/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://preview.indianapolis.com.br/produto/polia-de-elevador/","Indexable","","","","","","https://preview.indianapolis.com.br/produto/polia-de-elevador/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://preview.indianapolis.com.br/categoria-produto/sem-categoria/","Indexable","","","","","","https://preview.indianapolis.com.br/categoria-produto/sem-categoria/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://preview.indianapolis.com.br/produto/aneis-de-segmento/","Indexable","","","","","","https://preview.indianapolis.com.br/produto/aneis-de-segmento/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://preview.indianapolis.com.br/categoria-produto/industria-vidreira/","Indexable","","","","","","https://preview.indianapolis.com.br/categoria-produto/industria-vidreira/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
