"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Crawl Timestamp"
"https://preview.indianapolis.com.br/wp-content/plugins/royal-elementor-addons/assets/css/lib/animations/text-animations.min.css?ver=1.7.1061","text/css","200","OK","Indexable","","2026-06-22 21:10:32"
"https://preview.indianapolis.com.br/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=4.1.1","text/css","200","OK","Indexable","","2026-06-22 21:10:33"
"https://preview.indianapolis.com.br/wp-content/uploads/elementor/css/base-desktop.css?ver=6a39cccd6361e","text/css","200","OK","Indexable","","2026-06-22 21:10:33"
"https://preview.indianapolis.com.br/wp-content/plugins/complianz-gdpr/cookiebanner/js/complianz.min.js?ver=1782160325","application/x-javascript","200","OK","Indexable","","2026-06-22 21:10:33"
"https://preview.indianapolis.com.br/wp-content/uploads/elementor/css/post-11.css?ver=1782172877","text/css","200","OK","Indexable","","2026-06-22 21:10:33"
"https://preview.indianapolis.com.br/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=2.8.7","text/css","200","OK","Indexable","","2026-06-22 21:10:33"
"https://preview.indianapolis.com.br/wp-content/plugins/complianz-gdpr/assets/css/cookieblocker.min.css?ver=1782160324","text/css","200","OK","Indexable","","2026-06-22 21:10:33"
"https://preview.indianapolis.com.br/wp-content/uploads/2026/05/7eTjJUHqbS33vmBMcDh6fM-1.webp","image/webp","200","OK","Indexable","","2026-06-22 21:10:33"
"https://preview.indianapolis.com.br/contato/","text/html; charset=UTF-8","200","OK","Indexable","","2026-06-22 21:10:32"
"https://preview.indianapolis.com.br/wp-content/plugins/awesome-contact-form7-for-elementor/assets/css/style.css?ver=6.9.4","text/css","200","OK","Indexable","","2026-06-22 21:10:33"
"https://preview.indianapolis.com.br/wp-content/themes/hello-elementor/assets/css/reset.css?ver=3.4.7","text/css","200","OK","Indexable","","2026-06-22 21:10:33"
"https://preview.indianapolis.com.br/wp-content/uploads/elementor/css/post-31.css?ver=1782160591","text/css","200","OK","Indexable","","2026-06-22 21:10:33"
"https://preview.indianapolis.com.br/wp-content/themes/hello-elementor/assets/css/header-footer.css?ver=3.4.7","text/css","200","OK","Indexable","","2026-06-22 21:10:33"
"https://preview.indianapolis.com.br/wp-content/plugins/royal-elementor-addons/assets/css/lib/animations/wpr-animations.min.css?ver=1.7.1061","text/css","200","OK","Indexable","","2026-06-22 21:10:34"
"https://preview.indianapolis.com.br/wp-content/plugins/elementor/assets/css/widget-nested-accordion.min.css?ver=4.1.1","text/css","200","OK","Indexable","","2026-06-22 21:10:34"
"https://preview.indianapolis.com.br/wp-content/plugins/royal-elementor-addons/assets/js/lib/slick/slick.min.js?ver=1.8.1","application/x-javascript","200","OK","Indexable","","2026-06-22 21:10:34"
"https://preview.indianapolis.com.br/wp-includes/js/imagesloaded.min.js?ver=5.0.0","application/x-javascript","200","OK","Indexable","","2026-06-22 21:10:34"
"https://preview.indianapolis.com.br/wp-content/plugins/elementor/assets/lib/jquery-numerator/jquery-numerator.min.js?ver=0.2.1","application/x-javascript","200","OK","Indexable","","2026-06-22 21:10:34"
"https://preview.indianapolis.com.br/wp-content/plugins/woocommerce/assets/js/sourcebuster/sourcebuster.min.js?ver=10.7.0","application/x-javascript","200","OK","Indexable","","2026-06-22 21:10:34"
