"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://preview.indianapolis.com.br/pecas-para-tratores/","1","Indexable","","https://preview.indianapolis.com.br/pecas-para-tratores/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://preview.indianapolis.com.br/produto/abracadeira-rapida/","1","Indexable","","https://preview.indianapolis.com.br/produto/abracadeira-rapida/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://preview.indianapolis.com.br/produto/tirante-para-elevador/","1","Indexable","","https://preview.indianapolis.com.br/produto/tirante-para-elevador/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://preview.indianapolis.com.br/produto/rolo-de-apoio/","1","Indexable","","https://preview.indianapolis.com.br/produto/rolo-de-apoio/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://preview.indianapolis.com.br/produto/abracadeira-fixa/","1","Indexable","","https://preview.indianapolis.com.br/produto/abracadeira-fixa/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://preview.indianapolis.com.br/produto/placa-de-ancoragem/","1","Indexable","","https://preview.indianapolis.com.br/produto/placa-de-ancoragem/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://preview.indianapolis.com.br/produto/pecas-bomba-concreto/","1","Indexable","","https://preview.indianapolis.com.br/produto/pecas-bomba-concreto/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://preview.indianapolis.com.br/produto/rolo-de-apoio-para-betoneira/","1","Indexable","","https://preview.indianapolis.com.br/produto/rolo-de-apoio-para-betoneira/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://preview.indianapolis.com.br/produto/rolo-apoio-betoneira/","1","Indexable","","https://preview.indianapolis.com.br/produto/rolo-apoio-betoneira/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://preview.indianapolis.com.br/produto/polia-de-elevador/","1","Indexable","","https://preview.indianapolis.com.br/produto/polia-de-elevador/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://preview.indianapolis.com.br/categoria-produto/sem-categoria/","1","Indexable","","https://preview.indianapolis.com.br/categoria-produto/sem-categoria/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://preview.indianapolis.com.br/produto/aneis-de-segmento/","1","Indexable","","https://preview.indianapolis.com.br/produto/aneis-de-segmento/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://preview.indianapolis.com.br/categoria-produto/industria-vidreira/","1","Indexable","","https://preview.indianapolis.com.br/categoria-produto/industria-vidreira/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
