"Início dos relatórios","Encerramento dos relatórios","Nome do conjunto de anúncios","Veiculação do conjunto de anúncios","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (USD)",Término,Início,Impressões,"CPM (custo por 1.000 impressões) (USD)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (USD)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (USD)","Visualizações da página de destino","Custo por visualização da página de destino (USD)"
2026-05-30,2026-06-28,"GSET-CBO-Summer 2",inactive,"Clique de 7 dias ou visualização de 1 dia",37,actions:onsite_conversion.lead_grouped,15673,2.76048,31.95513514,"Usando orçamento da campanha",0,1182.34,Contínuo,2026-05-11,43265,27.327863,417,,2.835348,0.963828,704,1.627181,1.67946,11,107.485455
2026-05-30,2026-06-28,"GSET-CBO-Summer 2-Variation",active,"Clique de 7 dias ou visualização de 1 dia",6,actions:onsite_conversion.lead_grouped,4257,2.086681,52.50833333,"Usando orçamento da campanha",0,315.05,Contínuo,2026-06-22,8883,35.466622,95,,3.316316,1.069459,161,1.812451,1.956832,3,105.016667
